"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.343169982538271,5.99721923262758,0.63828867463,1,1994,"GB","fall"
"2",2,-0.155520129249273,7.15654185475,0.57703778414,2,1995,"GB","fall"
"3",3,0.893332417738912,8.52366518654151,0.59114189644,3,1996,"GB","fall"
"4",4,-0.336647967937473,5.70321099867665,0.6600067963,4,1997,"GB","fall"
"5",5,0.716791935153642,8.81988208166933,0.65773684975,5,1998,"GB","fall"
"6",6,-0.166566651343735,6.14227546253397,0.67505801441,6,1999,"GB","fall"
"7",7,0.352036633247633,6.43803192148723,0.66313709121,7,2000,"GB","fall"
"8",8,-0.0327953620039941,8.68012073996157,0.61597773155,8,2001,"GB","fall"
"9",9,0.0806122613210902,6.228834436651,0.6339726071,9,2002,"GB","fall"
"10",10,0.47339905470058,8.07031296462986,0.66800775386,10,2003,"GB","fall"
"11",11,0.366357293827186,9.94996035951753,0.58373820436,11,2004,"GB","fall"
"12",12,0.599068995720372,7.11756219913508,0.53865640183,12,2005,"GB","fall"
"13",13,0.287122809196076,8.18043033412181,0.6591691794,13,2006,"GB","fall"
"14",14,0.77158757410103,9.98696973905595,0.64995524099,14,2007,"GB","fall"
"15",15,0.230897930534071,7.36052280282738,0.71685220599,15,2008,"GB","fall"
"16",16,-0.521010410160109,6.33247939548285,0.64198234981,16,2009,"GB","fall"
"17",17,-0.0276653875316441,6.92744639529042,0.58152045094,17,2010,"GB","fall"
"18",18,0.501065186189365,7.98707924642536,0.61004652612,18,2011,"GB","fall"
"19",19,0.0931431862467942,6.06892195935362,0.63787266293,19,2012,"GB","fall"
"20",20,-0.365434468330238,5.15646664679601,0.6561369273,20,2013,"GB","fall"
"21",21,-0.351603239714824,8.46247059595361,0.6788708595,21,2014,"GB","fall"
"22",22,-0.053745089304836,6.67429430550342,0.68479767569,22,2015,"GB","fall"
"23",23,0.487042880324684,5.65862719486693,0.6706120453,23,2016,"GB","fall"
"24",24,0.107729762068217,6.61875217097421,0.57174037412,24,2017,"GB","fall"
"25",25,0.370188276438281,9.00910571414069,0.60581146208,25,2018,"GB","fall"
