"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.821495934647357,0.118764304827122,0.66889586,1,1998,"GB","fall"
"2",2,1.42354898952792,0.145536439317161,0.61045722,2,1999,"GB","fall"
"3",3,1.1428811631819,0.168434541139432,0.6450613,3,2000,"GB","fall"
"4",4,0.9119712030291,0.15847717176921,0.72520391,4,2001,"GB","fall"
"5",5,0.880148052562425,0.249372348410407,0.6469786,5,2002,"GB","fall"
"6",6,2.15659977022381,0.208344829716799,0.64118149,6,2003,"GB","fall"
"7",7,1.1233102537445,0.141629006502829,0.64116923,7,2004,"GB","fall"
"8",8,1.89386869058012,0.126084525845447,0.59158007,8,2005,"GB","fall"
"9",9,1.2649370560125,0.126106169230853,0.64048801,9,2006,"GB","fall"
"10",10,0.98709430769519,0.173080745047083,0.68708612,10,2007,"GB","fall"
"11",11,1.70813499803785,0.142609573328168,0.6502912,11,2008,"GB","fall"
"12",12,1.15337862605906,0.223224084757694,0.58310105,12,2009,"GB","fall"
"13",13,0.640209845960791,0.210793206865411,0.58710267,13,2010,"GB","fall"
"14",14,0.977316895490121,0.262995526712794,0.64364174,14,2011,"GB","fall"
"15",15,0.469512214145906,0.19082250822405,0.68292679,15,2012,"GB","fall"
"16",16,0.793716046366575,0.208799023009219,0.77529795,16,2013,"GB","fall"
"17",17,0.759787700285052,0.235456378737789,0.71440398,17,2014,"GB","fall"
"18",18,0.552048715296353,0.158670080396677,0.71674735,18,2015,"GB","fall"
"19",19,0.769449199050049,0.15860623899212,0.6801112,19,2016,"GB","fall"
"20",20,0.779300490565946,0.119736384302546,0.73389849,20,2017,"GB","fall"
"21",21,0.667891439674454,0.126267419705895,0.72991594,21,2018,"GB","fall"
"22",22,0.662318542826307,0.1470537099984,0.72420485,22,2019,"GB","fall"
