"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.00392567226776959,0.60263590576497,0.881791562839,1,1998,"GB","fall"
"2",2,-0.436039573839321,0.251946548251159,0.870405739442,2,1999,"GB","fall"
"3",3,-0.0150252901486009,1.27677010911149,0.898143439896,3,2000,"GB","fall"
"4",4,-0.260757423144576,0.78157296028941,0.884719987355,4,2001,"GB","fall"
"5",5,-0.0993546683806877,0.472382771181458,0.900515867528,5,2002,"GB","fall"
"6",6,-0.657201948788335,0.341257724236627,0.864758230006,6,2003,"GB","fall"
"7",7,0.384799054611997,0.15987617495998,0.89602791689,7,2004,"GB","fall"
"8",8,-0.732588640726002,0.341584276280879,0.87961518974,8,2005,"GB","fall"
"9",9,0.361191044889058,0.513917757625119,0.9010022174,9,2006,"GB","fall"
"10",10,-0.107991678438649,0.428996267955376,0.899453841425,10,2007,"GB","fall"
"11",11,0.4614270293817,0.977150461360926,0.898518316103,11,2008,"GB","fall"
"12",12,0.285336577308904,0.968222501661598,0.893445021604,12,2009,"GB","fall"
"13",13,-0.368046682994023,0.478177092371866,0.896811430217,13,2010,"GB","fall"
"14",14,-0.0444602090145558,0.712670129333085,0.887380928539,14,2011,"GB","fall"
"15",15,-0.219659818856338,0.254305759687536,0.908977060386,15,2012,"GB","fall"
"16",16,-0.238154048746125,0.560685396281397,0.881418635002,16,2013,"GB","fall"
"17",17,-0.402654859278362,0.248969141431267,0.894771098536,17,2014,"GB","fall"
"18",18,0.125262822703267,0.500760901341684,0.895166999427,18,2015,"GB","fall"
"19",19,0.0451424463618507,0.824331748983428,0.903531775326,19,2016,"GB","fall"
"20",20,-0.112584196912291,0.21248232356594,0.909450380875,20,2017,"GB","fall"
"21",21,0.00935064043792505,1.52779564223767,0.907523878938,21,2018,"GB","fall"
"22",22,0.337064486148203,0.683056168080108,0.898055799499,22,2019,"GB","fall"
