"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.727139634835633,0.0235820000475527,0.66889586,1,1998,"GB","fall"
"2",2,0.427743373194156,0.0255558431084115,0.61045722,2,1999,"GB","fall"
"3",3,1.37530846083144,0.027753289981604,0.6450613,3,2000,"GB","fall"
"4",4,0.772100373331956,0.0357125855732159,0.72520391,4,2001,"GB","fall"
"5",5,0.451585669259881,0.0307760577188432,0.6469786,5,2002,"GB","fall"
"6",6,1.03871848671293,0.0197547516788476,0.64118149,6,2003,"GB","fall"
"7",7,0.846281365352171,0.012932147396675,0.64116923,7,2004,"GB","fall"
"8",8,0.868801739047125,0.0171524103059488,0.59158007,8,2005,"GB","fall"
"9",9,1.02176182625243,0.0132682730039989,0.64048801,9,2006,"GB","fall"
"10",10,0.816458004012817,0.0133257638795043,0.68708612,10,2007,"GB","fall"
"11",11,1.19038707874932,0.0126631973198982,0.6502912,11,2008,"GB","fall"
"12",12,0.499989289379417,0.0125533714379994,0.58310105,12,2009,"GB","fall"
"13",13,0.721670113940188,0.0154870990064973,0.58710267,13,2010,"GB","fall"
"14",14,0.69709753564539,0.023683684890206,0.64364174,14,2011,"GB","fall"
"15",15,0.131073284236966,0.0182727297879383,0.68292679,15,2012,"GB","fall"
"16",16,0.312752522573309,0.0220556049624295,0.77529795,16,2013,"GB","fall"
"17",17,0.591778024724521,0.0216398242778414,0.71440398,17,2014,"GB","fall"
"18",18,0.362938035937254,0.0222494651221355,0.71674735,18,2015,"GB","fall"
"19",19,0.29429665209991,0.0180841586397374,0.6801112,19,2016,"GB","fall"
"20",20,0.218807978549803,0.0127021508285415,0.73389849,20,2017,"GB","fall"
"21",21,0.660449304124614,0.0148258127564335,0.72991594,21,2018,"GB","fall"
"22",22,0.574133357820461,0.011195457406218,0.72420485,22,2019,"GB","fall"
