"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.168048015860688,0.250209897908412,0.3437988647596,1,1983,"GB","fall"
"2",2,-0.171443113663159,0.124092235096926,0.335533036292,2,1984,"GB","fall"
"3",3,-0.281143141469831,0.37390486447696,0.3158908091316,3,1985,"GB","fall"
"4",4,-0.101560531042956,0.435559548070135,0.31525682531,4,1986,"GB","fall"
"5",5,-0.23716154607708,0.274152839564284,0.3101264084617,5,1987,"GB","fall"
"6",6,-0.191096451533746,0.308112195910429,0.3071875712583,6,1988,"GB","fall"
"7",7,-0.56212061262551,0.2919334781088,0.3223158521775,7,1989,"GB","fall"
"8",8,-0.0729420342748645,0.257181875312706,0.332209086667,8,1990,"GB","fall"
"9",9,0.0125427834039801,0.391381430528326,0.3162604458782,9,1991,"GB","fall"
"10",10,-0.441445300993791,0.319630800978454,0.322162285003,10,1992,"GB","fall"
"11",11,0.143378316507555,0.445028913027619,0.30612553426,11,1993,"GB","fall"
"12",12,0.0797281169514297,0.715292664546313,0.3526906332261,12,1994,"GB","fall"
"13",13,0.28963465198999,0.452898008851669,0.340893086857,13,1995,"GB","fall"
"14",14,-0.228581778148208,0.452016529651507,0.3568306905974,14,1996,"GB","fall"
"15",15,-0.680741716894078,0.193052412206719,0.336057737404,15,1997,"GB","fall"
"16",16,-0.404081520661458,0.330718636025282,0.344876376726,16,1998,"GB","fall"
"17",17,-0.568011846311303,0.371339805559553,0.3356778308203,17,1999,"GB","fall"
"18",18,-0.332611006938934,0.946085771477407,0.276996047345,18,2000,"GB","fall"
"19",19,0.0491282534477999,0.308729359786336,0.2994865704548,19,2001,"GB","fall"
"20",20,-0.956809722180804,0.36296904264719,0.3395033139116,20,2002,"GB","fall"
"21",21,-0.695975032735097,0.362209299059347,0.3440752201649,21,2003,"GB","fall"
"22",22,-0.711837200435146,0.441031125415016,0.3149410506732,22,2004,"GB","fall"
"23",23,-0.198450913093811,0.339312400567918,0.3523793307469,23,2005,"GB","fall"
"24",24,0.355215886918367,0.638923142735444,0.3615306189995,24,2006,"GB","fall"
"25",25,-0.0620624679411352,0.377321305335899,0.3404807625589,25,2007,"GB","fall"
"26",26,-0.45562698492619,0.258475977497197,0.3552781854168,26,2008,"GB","fall"
"27",27,-0.589363181289467,0.36402067400807,0.366872377424,27,2009,"GB","fall"
"28",28,0.49037200820571,1.77280949820116,0.364358107144,28,2010,"GB","fall"
"29",29,-0.102224365173281,0.533747977332233,0.3432709368721,29,2011,"GB","fall"
"30",30,-0.408487993398277,0.375697183402723,0.3558215108988,30,2012,"GB","fall"
"31",31,-0.582350564212136,0.680249695532478,0.3741036052027,31,2013,"GB","fall"
"32",32,-0.574669534645815,0.566413060448114,0.343548380138,32,2014,"GB","fall"
"33",33,-0.598640804638155,0.649420184213324,0.2516226755798,33,2015,"GB","fall"
"34",34,0.0892485544634685,0.91954563804249,0.3475344429942,34,2016,"GB","fall"
"35",35,0.0680867869075458,0.650116451984636,0.3274642477572,35,2017,"GB","fall"
"36",36,-0.355105236969015,0.518078546443385,0.3661980356616,36,2018,"GB","fall"
"37",37,-0.199394958629462,0.392436249898025,0.338806709597,37,2019,"GB","fall"
"38",38,-0.388965579376749,0.518235452080558,0.3551966178582,38,2020,"GB","fall"
