"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.5682710219205,4.1681686301148,0.63828867463,1,1994,"GB","spring"
"2",2,2.56692159464031,3.42499090105446,0.57703778414,2,1995,"GB","spring"
"3",3,2.40395727260381,1.5654419754793,0.59114189644,3,1996,"GB","spring"
"4",4,1.9403311763467,1.81012793852904,0.6600067963,4,1997,"GB","spring"
"5",5,1.27415218955443,0.498685529249946,0.65773684975,5,1998,"GB","spring"
"6",6,1.74490502905803,4.01196617881639,0.67505801441,6,1999,"GB","spring"
"7",7,2.23702281738796,1.7350183001956,0.66313709121,7,2000,"GB","spring"
"8",8,1.62129983773205,2.72167864704115,0.61597773155,8,2001,"GB","spring"
"9",9,3.28579536855319,0.724371561628265,0.6339726071,9,2002,"GB","spring"
"10",10,2.17737402956558,2.19265699147596,0.66800775386,10,2003,"GB","spring"
"11",11,2.27393928772077,2.99825037491357,0.58373820436,11,2004,"GB","spring"
"12",12,1.98640976293309,1.54707769949402,0.53865640183,12,2005,"GB","spring"
"13",13,2.28346626153654,3.08961083233534,0.6591691794,13,2006,"GB","spring"
"14",14,2.05072052653251,0.843033093414906,0.64995524099,14,2007,"GB","spring"
"15",15,2.08414133430752,3.84541441525365,0.71685220599,15,2008,"GB","spring"
"16",16,1.76186253267368,6.91146703289996,0.64198234981,16,2009,"GB","spring"
"17",17,1.14218490874937,3.60469695433691,0.58152045094,17,2010,"GB","spring"
"18",18,2.02977224451905,3.40747137744417,0.61004652612,18,2011,"GB","spring"
"19",19,2.60547677097061,1.88598098187825,0.63787266293,19,2012,"GB","spring"
"20",20,1.43715494367118,1.64740681869947,0.6561369273,20,2013,"GB","spring"
"21",21,2.03111416010666,3.21362168825098,0.6788708595,21,2014,"GB","spring"
"22",22,0.909407369832882,5.23245301775903,0.68479767569,22,2015,"GB","spring"
"23",23,1.46569029823189,3.91777036698033,0.6706120453,23,2016,"GB","spring"
"24",24,1.94198275972694,2.80361479802722,0.57174037412,24,2017,"GB","spring"
"25",25,0.48391331674974,2.46608453547801,0.60581146208,25,2018,"GB","spring"
