"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.776534078730436,0.0885995370160028,0.66889586,1,1998,"GB","spring"
"2",2,0.89341964672976,0.339392584941643,0.61045722,2,1999,"GB","spring"
"3",3,1.03503473571753,0.188642283115704,0.6450613,3,2000,"GB","spring"
"4",4,0.882055480630396,0.151415418672962,0.72520391,4,2001,"GB","spring"
"5",5,0.855993330061352,0.240235587149577,0.6469786,5,2002,"GB","spring"
"6",6,0.633066988868256,0.248488007704047,0.64118149,6,2003,"GB","spring"
"7",7,0.605184067085267,0.474070834573524,0.64116923,7,2004,"GB","spring"
"8",8,0.84599072328345,0.159733532811412,0.59158007,8,2005,"GB","spring"
"9",9,0.690590746254021,0.110859529119586,0.64048801,9,2006,"GB","spring"
"10",10,1.14043239960888,0.277556074739079,0.68708612,10,2007,"GB","spring"
"11",11,1.4333045245841,0.284454097722575,0.6502912,11,2008,"GB","spring"
"12",12,0.638668049109835,0.427882157273089,0.58310105,12,2009,"GB","spring"
"13",13,0.816020490533331,0.207594430464517,0.58710267,13,2010,"GB","spring"
"14",14,0.961472379553441,0.482188723673777,0.64364174,14,2011,"GB","spring"
"15",15,0.831453795970625,0.164799529988226,0.68292679,15,2012,"GB","spring"
"16",16,1.4055266896689,0.147894799624838,0.77529795,16,2013,"GB","spring"
"17",17,1.95246409617634,0.852702594002668,0.71440398,17,2014,"GB","spring"
"18",18,1.12243104329542,0.248853300518575,0.71674735,18,2015,"GB","spring"
"19",19,1.17136291836595,0.170888805667885,0.6801112,19,2016,"GB","spring"
"20",20,1.19840907177394,0.120466503628974,0.73389849,20,2017,"GB","spring"
"21",21,1.97882814853595,0.399766648613367,0.72991594,21,2018,"GB","spring"
"22",22,1.3488276266687,0.05529810542815,0.72420485,22,2019,"GB","spring"
