"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.319957668976167,0.096406567404113,0.81170498573524,1,1998,"GB","spring"
"2",2,0.130137493549433,0.25995215946306,0.77851496067847,2,1999,"GB","spring"
"3",3,0.470043482064699,0.109993658206312,0.79941533387604,3,2000,"GB","spring"
"4",4,0.287147849892259,0.125040608897365,0.77936777067715,4,2001,"GB","spring"
"5",5,0.25693172100262,0.140670454956145,0.79099663173006,5,2002,"GB","spring"
"6",6,0.1947171171451,0.17076907304908,0.81926107795063,6,2003,"GB","spring"
"7",7,0.0785992083225412,0.245413384706726,0.8296832962554,7,2004,"GB","spring"
"8",8,0.103202101198644,0.130783672155589,0.81396684055768,8,2005,"GB","spring"
"9",9,0.294913114237923,0.0771262635521436,0.85252244634327,9,2006,"GB","spring"
"10",10,0.400923152905499,0.151323941349267,0.82834091139766,10,2007,"GB","spring"
"11",11,0.871791749859711,0.127507015763054,0.79169049141151,11,2008,"GB","spring"
"12",12,-0.00548822510589321,0.236356223423616,0.80345420004806,12,2009,"GB","spring"
"13",13,0.332006684899824,0.141978227844656,0.79821408121861,13,2010,"GB","spring"
"14",14,0.264598195423682,0.274588883258077,0.73738207304291,14,2011,"GB","spring"
"15",15,0.402138502016828,0.0974661805613186,0.82307816652886,15,2012,"GB","spring"
"16",16,0.83511434575647,0.101221277637036,0.79838137181064,16,2013,"GB","spring"
"17",17,0.766868978976648,0.290907297578759,0.81974253367609,17,2014,"GB","spring"
"18",18,0.297229813090905,0.176339231911812,0.79961106317662,18,2015,"GB","spring"
"19",19,0.444944690635107,0.114786516983705,0.77794918603098,19,2016,"GB","spring"
"20",20,0.458562166853131,0.096031296144376,0.82762532314084,20,2017,"GB","spring"
"21",21,1.02783021929391,0.193350424076168,0.79485744520992,21,2018,"GB","spring"
"22",22,0.661018796772831,0.0475245802803246,0.77294423567731,22,2019,"GB","spring"
