"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.683757915997867,1.21683076428673,0.881791562839,1,1998,"GB","spring"
"2",2,0.149332366739806,0.25462131302296,0.870405739442,2,1999,"GB","spring"
"3",3,-0.278099995796743,0.264786045877655,0.898143439896,3,2000,"GB","spring"
"4",4,0.113969242890907,0.439856650594631,0.884719987355,4,2001,"GB","spring"
"5",5,-0.397784043548006,1.74173560109013,0.900515867528,5,2002,"GB","spring"
"6",6,-0.290613645671478,0.494953877392552,0.864758230006,6,2003,"GB","spring"
"7",7,0.365298831225656,1.43680233604771,0.89602791689,7,2004,"GB","spring"
"8",8,-0.355498120820429,0.59637152466529,0.87961518974,8,2005,"GB","spring"
"9",9,-0.315288045012877,1.43764532535155,0.9010022174,9,2006,"GB","spring"
"10",10,0.0119677769128632,1.01408612505476,0.899453841425,10,2007,"GB","spring"
"11",11,-0.097007430132145,0.414173708451945,0.898518316103,11,2008,"GB","spring"
"12",12,-0.64775372997261,0.632837308037323,0.893445021604,12,2009,"GB","spring"
"13",13,0.107697767994049,1.16148357360959,0.896811430217,13,2010,"GB","spring"
"14",14,-0.262721133069222,0.855050563054449,0.887380928539,14,2011,"GB","spring"
"15",15,-0.51449362415254,1.69241938350107,0.908977060386,15,2012,"GB","spring"
"16",16,0.0855576313626473,0.617801932491925,0.881418635002,16,2013,"GB","spring"
"17",17,-0.543288817441007,1.26691160882443,0.894771098536,17,2014,"GB","spring"
"18",18,-1.21267360062575,0.334191129100781,0.895166999427,18,2015,"GB","spring"
"19",19,-0.102315940201472,0.607865196770401,0.903531775326,19,2016,"GB","spring"
"20",20,0.33573652316868,0.578684368087406,0.909450380875,20,2017,"GB","spring"
"21",21,0.561628705616262,0.992020439863048,0.907523878938,21,2018,"GB","spring"
"22",22,-0.000210858068891833,1.13315296001321,0.898055799499,22,2019,"GB","spring"
