"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.726316994430112,0.0125193747951148,0.66889586,1,1998,"GB","spring"
"2",2,0.751297183040037,0.0390543432362458,0.61045722,2,1999,"GB","spring"
"3",3,0.776060735405723,0.0293189226707601,0.6450613,3,2000,"GB","spring"
"4",4,0.796290811139555,0.0195751352887353,0.72520391,4,2001,"GB","spring"
"5",5,0.850002357628791,0.0363399774448556,0.6469786,5,2002,"GB","spring"
"6",6,0.930460966759798,0.0327326967098583,0.64118149,6,2003,"GB","spring"
"7",7,0.849119933130532,0.080737827664981,0.64116923,7,2004,"GB","spring"
"8",8,1.54639427139565,0.0360639257880085,0.59158007,8,2005,"GB","spring"
"9",9,0.637626094615359,0.0188650315611314,0.64048801,9,2006,"GB","spring"
"10",10,1.23424695753086,0.0598935585922436,0.68708612,10,2007,"GB","spring"
"11",11,1.09485216126187,0.0561872687400807,0.6502912,11,2008,"GB","spring"
"12",12,0.963142334632739,0.0762758554722249,0.58310105,12,2009,"GB","spring"
"13",13,1.12879584253735,0.0613074100488567,0.58710267,13,2010,"GB","spring"
"14",14,1.14789370595493,0.0833377951304274,0.64364174,14,2011,"GB","spring"
"15",15,1.15325717510853,0.043538923154897,0.68292679,15,2012,"GB","spring"
"16",16,1.39347315603776,0.0455683182499098,0.77529795,16,2013,"GB","spring"
"17",17,2.03975416511084,0.13401871916306,0.71440398,17,2014,"GB","spring"
"18",18,0.9878634742083,0.0420499075408311,0.71674735,18,2015,"GB","spring"
"19",19,1.05241556703838,0.0469134368073905,0.6801112,19,2016,"GB","spring"
"20",20,1.05778731683362,0.0310410510695243,0.73389849,20,2017,"GB","spring"
"21",21,2.07271062039415,0.078785219544727,0.72991594,21,2018,"GB","spring"
"22",22,1.193230295939,0.0222783188633484,0.72420485,22,2019,"GB","spring"
