"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.783093185364502,0.363050037666524,0.3437988647596,1,1983,"GB","spring"
"2",2,0.899826525575457,0.338707939328741,0.335533036292,2,1984,"GB","spring"
"3",3,0.115607696094359,0.447969625855459,0.3158908091316,3,1985,"GB","spring"
"4",4,-0.0514291238799436,0.892565035216581,0.31525682531,4,1986,"GB","spring"
"5",5,0.425165103435573,0.715214194057131,0.3101264084617,5,1987,"GB","spring"
"6",6,0.337555743650768,1.25022301086901,0.3071875712583,6,1988,"GB","spring"
"7",7,0.00215399080194926,0.620007180145339,0.3223158521775,7,1989,"GB","spring"
"8",8,0.174637058007074,0.392899306497687,0.332209086667,8,1990,"GB","spring"
"9",9,0.430215555409715,0.292143549839099,0.3162604458782,9,1991,"GB","spring"
"10",10,0.235895128242676,0.454679270046425,0.322162285003,10,1992,"GB","spring"
"11",11,-0.108428438347666,0.956833363451957,0.30612553426,11,1993,"GB","spring"
"12",12,0.603936330727696,1.4354680572364,0.3526906332261,12,1994,"GB","spring"
"13",13,1.02503492101338,0.736671705568544,0.340893086857,13,1995,"GB","spring"
"14",14,0.430350454770476,0.893506253770593,0.3568306905974,14,1996,"GB","spring"
"15",15,-0.0939100793192347,0.53715434369656,0.336057737404,15,1997,"GB","spring"
"16",16,0.134801150150803,0.617472793133877,0.344876376726,16,1998,"GB","spring"
"17",17,-0.148080549736269,0.287479075844631,0.3356778308203,17,1999,"GB","spring"
"18",18,0.336982087557352,0.853944327948202,0.276996047345,18,2000,"GB","spring"
"19",19,-0.0257788838616466,0.4240901418193,0.2994865704548,19,2001,"GB","spring"
"20",20,-0.198195472148247,0.804002764125021,0.3395033139116,20,2002,"GB","spring"
"21",21,-0.376263150096148,0.470832439808893,0.3440752201649,21,2003,"GB","spring"
"22",22,0.629593741036652,0.640802937087388,0.3149410506732,22,2004,"GB","spring"
"23",23,-0.172297362516177,0.579306383568754,0.3523793307469,23,2005,"GB","spring"
"24",24,0.22735954940808,0.798262352986253,0.3615306189995,24,2006,"GB","spring"
"25",25,-0.186258090657263,0.772924487122506,0.3404807625589,25,2007,"GB","spring"
"26",26,0.541788557900402,0.579205035335119,0.3552781854168,26,2008,"GB","spring"
"27",27,0.419317187182913,0.45648928509118,0.366872377424,27,2009,"GB","spring"
"28",28,0.0968467854294626,0.852421059406736,0.364358107144,28,2010,"GB","spring"
"29",29,1.02660176532727,1.01718964537873,0.3432709368721,29,2011,"GB","spring"
"30",30,0.553795442810527,0.573820657438897,0.3558215108988,30,2012,"GB","spring"
"31",31,0.350276405574182,0.80381687002912,0.3741036052027,31,2013,"GB","spring"
"32",32,0.65733612909458,0.458713230061017,0.343548380138,32,2014,"GB","spring"
"33",33,0.714392324829816,0.681278673415018,0.2516226755798,33,2015,"GB","spring"
"34",34,-0.0216140120258889,1.15068729466202,0.3475344429942,34,2016,"GB","spring"
"35",35,0.667061155245061,0.544022549655646,0.3274642477572,35,2017,"GB","spring"
"36",36,0.970999587416872,0.631145513791344,0.3661980356616,36,2018,"GB","spring"
"37",37,0.943347465795694,0.518444320133444,0.338806709597,37,2019,"GB","spring"
"38",38,1.24166029169529,0.682795411204198,0.3551966178582,38,2020,"GB","spring"
