"","name","skewness","variance","moran","Year","EPU","season"
"1",1,0.838282048966151,0.96671332838202,0.1205961,1982,"GB","summer"
"2",2,0.952028319820555,1.77272666138661,0.26155529,1983,"GB","summer"
"3",3,0.185867807368049,0.750636358656519,0.18255344,1984,"GB","summer"
"4",4,-0.0540162289004533,1.52797337185743,0.1381293,1985,"GB","summer"
"5",5,-0.169020637137531,1.06934255730357,0.13931192,1986,"GB","summer"
"6",6,-0.23907567744115,1.57007246059121,0.15355,1987,"GB","summer"
"7",7,-0.262717157631405,1.01150241184291,0.15122764,1988,"GB","summer"
"8",8,-0.324917258549086,1.34238611151211,0.17983028,1989,"GB","summer"
"9",9,0.37771276304286,1.87437637676178,0.19681443,1990,"GB","summer"
"10",10,-0.17206005626998,0.999718804136852,0.21096417,1991,"GB","summer"
"11",11,-0.216558867433776,1.01057949864479,0.15554412,1992,"GB","summer"
"12",12,-0.126754010794527,1.26306197885711,0.15002447,1993,"GB","summer"
"13",13,0.0227710938847286,0.734610769770045,0.173908,1994,"GB","summer"
"14",14,-0.0942695842075609,1.59084806044262,0.1454646,1995,"GB","summer"
"15",15,-0.0678748299298769,0.986808291815187,0.20271629,1996,"GB","summer"
"16",16,-0.217246265572879,1.64264889428864,0.22676753,1997,"GB","summer"
"17",17,-0.0973467518462104,0.899222672509575,0.083332339,1998,"GB","summer"
"18",18,-0.0723910068613797,1.40525693289432,0.17382934,1999,"GB","summer"
"19",19,-0.201084531689248,0.901741868003867,0.21273708,2000,"GB","summer"
"20",20,-0.255441370682185,1.69902058777485,0.15274628,2001,"GB","summer"
"21",21,0.00834741842696575,1.08309268701136,0.20776829,2002,"GB","summer"
"22",22,0.164375646586489,1.21308554907382,0.161626,2003,"GB","summer"
"23",23,-0.323112762386287,1.27126160001157,0.16944056,2004,"GB","summer"
"24",24,-0.459710266100393,1.93956474582885,0.084286754,2005,"GB","summer"
"25",25,-0.339038911230599,1.07012939923459,0.18132357,2006,"GB","summer"
"26",26,0.398232511556607,1.00412107702535,0.22646763,2007,"GB","summer"
"27",27,0.320731338389741,0.928656506627202,0.11191996,2008,"GB","summer"
"28",28,0.0240808451936094,1.85811965575188,0.19706151,2009,"GB","summer"
"29",29,0.779238916254568,1.03401240194974,0.153914,2010,"GB","summer"
"30",30,0.502363385466057,1.95175685725443,0.1566904,2011,"GB","summer"
"31",31,0.164937693410023,2.02311035033338,0.17923355,2012,"GB","summer"
"32",32,0.620679869192072,0.942073845372808,0.1761043,2013,"GB","summer"
"33",33,0.378557392815293,1.54068537801497,0.19239129,2014,"GB","summer"
"34",34,0.0126206073110335,2.41140008253828,0.18899402,2015,"GB","summer"
"35",35,0.392975013361273,1.5370428973661,0.203701,2016,"GB","summer"
"36",36,0.332650582730981,1.64348602679165,0.1307749,2017,"GB","summer"
"37",37,0.322536027162866,1.81342889880797,0.2233136,2018,"GB","summer"
"38",38,0.141226226741763,2.5800187401617,0.1979,2019,"GB","summer"
