"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.611067378388651,4.38445647257547,0.63828867463,1,1994,"GB","summer"
"2",2,1.39543628526566,6.79735116176645,0.57703778414,2,1995,"GB","summer"
"3",3,1.85471083723342,7.13871376960167,0.59114189644,3,1996,"GB","summer"
"4",4,1.25468746942746,6.28482273487097,0.6600067963,4,1997,"GB","summer"
"5",5,1.41473543596225,7.37266092614088,0.65773684975,5,1998,"GB","summer"
"6",6,1.02829995877839,5.7782099656432,0.67505801441,6,1999,"GB","summer"
"7",7,1.5250070861077,6.26092507064472,0.66313709121,7,2000,"GB","summer"
"8",8,1.89878913411989,7.46666989805959,0.61597773155,8,2001,"GB","summer"
"9",9,1.26796750604151,6.97092329317614,0.6339726071,9,2002,"GB","summer"
"10",10,1.13958019337396,7.9092718329159,0.66800775386,10,2003,"GB","summer"
"11",11,1.77252107126906,8.40729947283933,0.58373820436,11,2004,"GB","summer"
"12",12,1.6666635678617,7.08021386543364,0.53865640183,12,2005,"GB","summer"
"13",13,0.729857668936942,7.92538914095208,0.6591691794,13,2006,"GB","summer"
"14",14,1.59755765095237,8.12084208479764,0.64995524099,14,2007,"GB","summer"
"15",15,1.90069099227671,7.97888745270025,0.71685220599,15,2008,"GB","summer"
"16",16,0.800316200899645,9.52025566490077,0.64198234981,16,2009,"GB","summer"
"17",17,1.76388237811327,6.77893408466633,0.58152045094,17,2010,"GB","summer"
"18",18,2.20207398667903,8.04575826432005,0.61004652612,18,2011,"GB","summer"
"19",19,0.92309006907629,7.48143238909297,0.63787266293,19,2012,"GB","summer"
"20",20,0.459889141223006,8.41951295429475,0.6561369273,20,2013,"GB","summer"
"21",21,1.56427321365369,7.63863953693685,0.6788708595,21,2014,"GB","summer"
"22",22,0.583644016982971,8.41081777849937,0.68479767569,22,2015,"GB","summer"
"23",23,1.27243940442967,6.45058503758477,0.6706120453,23,2016,"GB","summer"
"24",24,1.42537152888418,6.18640291836734,0.57174037412,24,2017,"GB","summer"
"25",25,1.49764016166862,6.69629168198876,0.60581146208,25,2018,"GB","summer"
