"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.317102774817312,0.908331418571305,0.881791562839,1,1998,"GB","summer"
"2",2,-0.328940576914483,0.415255628517768,0.870405739442,2,1999,"GB","summer"
"3",3,-0.428430473377752,0.426961389135974,0.898143439896,3,2000,"GB","summer"
"4",4,0.397757792029984,0.633373560544799,0.884719987355,4,2001,"GB","summer"
"5",5,-0.0187213696026492,0.269144314373598,0.900515867528,5,2002,"GB","summer"
"6",6,0.0288894799261954,0.245479482060035,0.864758230006,6,2003,"GB","summer"
"7",7,-0.765230427874437,0.550380382383581,0.89602791689,7,2004,"GB","summer"
"8",8,0.0583364394137458,1.1943504413614,0.87961518974,8,2005,"GB","summer"
"9",9,0.162822845405065,1.24501724873211,0.9010022174,9,2006,"GB","summer"
"10",10,0.446103427432735,0.780460778106333,0.899453841425,10,2007,"GB","summer"
"11",11,-0.956312695156595,1.5420183572613,0.898518316103,11,2008,"GB","summer"
"12",12,-0.0272617865362871,1.1649071180238,0.893445021604,12,2009,"GB","summer"
"13",13,0.429001022167207,1.00605953448221,0.896811430217,13,2010,"GB","summer"
"14",14,-0.0224938626300145,2.37951698786868,0.887380928539,14,2011,"GB","summer"
"15",15,-0.221030751721878,0.451313119223247,0.908977060386,15,2012,"GB","summer"
"16",16,-0.275986615139113,1.27234169611726,0.881418635002,16,2013,"GB","summer"
"17",17,0.137216291001478,0.925147997540988,0.894771098536,17,2014,"GB","summer"
"18",18,-0.176333887415521,1.01057243303753,0.895166999427,18,2015,"GB","summer"
"19",19,-0.163268505042191,0.374834339488606,0.903531775326,19,2016,"GB","summer"
"20",20,0.0488111637880129,1.29689544390753,0.909450380875,20,2017,"GB","summer"
"21",21,-0.344956653319226,0.731225995135054,0.907523878938,21,2018,"GB","summer"
"22",22,0.407251163955059,0.985811200883706,0.898055799499,22,2019,"GB","summer"
