"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.85281578712035,0.0498413334882605,0.66889586,1,1998,"GB","summer"
"2",2,1.08666281632082,0.0778921478147743,0.61045722,2,1999,"GB","summer"
"3",3,1.78500034650513,0.0678749248812847,0.6450613,3,2000,"GB","summer"
"4",4,1.604830913086,0.053231118385393,0.72520391,4,2001,"GB","summer"
"5",5,1.24168235351792,0.0982593694200023,0.6469786,5,2002,"GB","summer"
"6",6,1.12938720247461,0.0597845529128672,0.64118149,6,2003,"GB","summer"
"7",7,1.19305444570856,0.0599613146123641,0.64116923,7,2004,"GB","summer"
"8",8,1.68170221330007,0.0739244342840814,0.59158007,8,2005,"GB","summer"
"9",9,1.14384763831822,0.0666171383163014,0.64048801,9,2006,"GB","summer"
"10",10,1.80117847501416,0.0566618366691412,0.68708612,10,2007,"GB","summer"
"11",11,1.61234382743461,0.0850893943484823,0.6502912,11,2008,"GB","summer"
"12",12,0.948206716544493,0.100902429660076,0.58310105,12,2009,"GB","summer"
"13",13,1.86617983601608,0.10497004881179,0.58710267,13,2010,"GB","summer"
"14",14,1.95802298028383,0.0731669177679917,0.64364174,14,2011,"GB","summer"
"15",15,1.1524932434087,0.096931109319442,0.68292679,15,2012,"GB","summer"
"16",16,1.60027444251339,0.0748314213226912,0.77529795,16,2013,"GB","summer"
"17",17,0.885297596316972,0.100083268004482,0.71440398,17,2014,"GB","summer"
"18",18,0.85811805611484,0.106549173625294,0.71674735,18,2015,"GB","summer"
"19",19,1.87536852153379,0.086431390034556,0.6801112,19,2016,"GB","summer"
"20",20,1.88390218163188,0.065843854731524,0.73389849,20,2017,"GB","summer"
"21",21,1.5337569934203,0.0934811129245047,0.72991594,21,2018,"GB","summer"
"22",22,2.34736671041881,0.0615006124692172,0.72420485,22,2019,"GB","summer"
