"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.904775008669526,0.0539092630602543,0.81170498573524,1,1998,"GB","summer"
"2",2,-0.040381215640706,0.0920206506560035,0.77851496067847,2,1999,"GB","summer"
"3",3,0.733870747909345,0.0548965173531016,0.79941533387604,3,2000,"GB","summer"
"4",4,0.477774252948851,0.0556732108637495,0.77936777067715,4,2001,"GB","summer"
"5",5,0.0933579242862076,0.0714337695750078,0.79099663173006,5,2002,"GB","summer"
"6",6,0.259446375216313,0.0473366736164461,0.81926107795063,6,2003,"GB","summer"
"7",7,0.389847922601599,0.0496411817645495,0.8296832962554,7,2004,"GB","summer"
"8",8,0.837241277605295,0.0481548535262588,0.81396684055768,8,2005,"GB","summer"
"9",9,0.457209943154197,0.0410957802390876,0.85252244634327,9,2006,"GB","summer"
"10",10,0.770190541002558,0.03120916454906,0.82834091139766,10,2007,"GB","summer"
"11",11,0.866814215402284,0.0475831757422272,0.79169049141151,11,2008,"GB","summer"
"12",12,-0.0337172966024443,0.0745174472904072,0.80345420004806,12,2009,"GB","summer"
"13",13,0.72943278919608,0.0533166265977159,0.79821408121861,13,2010,"GB","summer"
"14",14,0.963139364285715,0.0462974447158302,0.73738207304291,14,2011,"GB","summer"
"15",15,0.430339467904964,0.0578062291277846,0.82307816652886,15,2012,"GB","summer"
"16",16,0.789961562930455,0.0463622252631941,0.79838137181064,16,2013,"GB","summer"
"17",17,0.275464515617351,0.0706133683518332,0.81974253367609,17,2014,"GB","summer"
"18",18,-0.0418736608496406,0.0824285205332217,0.79961106317662,18,2015,"GB","summer"
"19",19,0.621363497895522,0.047051155304678,0.77794918603098,19,2016,"GB","summer"
"20",20,0.920471255236871,0.0441179861498897,0.82762532314084,20,2017,"GB","summer"
"21",21,0.631657777640867,0.0591283289841784,0.79485744520992,21,2018,"GB","summer"
"22",22,1.31895154350458,0.0352513877969236,0.77294423567731,22,2019,"GB","summer"
