"","name","skewness","variance","moran","Year","EPU","season"
"1",1,-1.91098373934976,0.214583829007685,0.1205961,1982,"GB","winter"
"2",2,-1.2596888146768,0.449029516996337,0.26155529,1983,"GB","winter"
"3",3,-0.738813954972274,0.199953295263083,0.18255344,1984,"GB","winter"
"4",4,0.566448456183137,0.392840234027933,0.1381293,1985,"GB","winter"
"5",5,0.391167663948238,0.577368810266401,0.13931192,1986,"GB","winter"
"6",6,-0.222848905100026,0.369813051841138,0.15355,1987,"GB","winter"
"7",7,0.324747242152881,0.15161291046914,0.15122764,1988,"GB","winter"
"8",8,-0.28920225849456,0.243842191881611,0.17983028,1989,"GB","winter"
"9",9,-0.434999094534449,0.215386806182048,0.19681443,1990,"GB","winter"
"10",10,-0.628203848464108,0.365955877703141,0.21096417,1991,"GB","winter"
"11",11,-1.03361802682762,0.238729632091906,0.15554412,1992,"GB","winter"
"12",12,-0.0930263895731286,0.648320449737531,0.15002447,1993,"GB","winter"
"13",13,-0.45673985649353,0.690957596251076,0.173908,1994,"GB","winter"
"14",14,0.188125162389904,0.673786195896308,0.1454646,1995,"GB","winter"
"15",15,-1.53654564633774,0.524813472885631,0.20271629,1996,"GB","winter"
"16",16,-0.376068465550449,0.142738287789255,0.22676753,1997,"GB","winter"
"17",17,-0.839545571559279,0.153400834143482,0.083332339,1998,"GB","winter"
"18",18,-0.470848480920312,0.426212928649483,0.17382934,1999,"GB","winter"
"19",19,-0.222939547846286,0.592682609929449,0.21273708,2000,"GB","winter"
"20",20,-1.3325221768416,0.396224746015275,0.15274628,2001,"GB","winter"
"21",21,-0.898500243242693,0.310532998447795,0.20776829,2002,"GB","winter"
"22",22,-0.776123263408733,0.306326660409622,0.161626,2003,"GB","winter"
"23",23,0.0933647826540922,0.357192882892658,0.16944056,2004,"GB","winter"
"24",24,-0.968547090319791,0.299092685923784,0.084286754,2005,"GB","winter"
"25",25,-0.661774797289507,0.280672289578446,0.18132357,2006,"GB","winter"
"26",26,-0.866670984969284,0.348188792788655,0.22646763,2007,"GB","winter"
"27",27,0.797093650025862,0.548051412039145,0.11191996,2008,"GB","winter"
"28",28,-1.06867091054883,0.50450143589228,0.19706151,2009,"GB","winter"
"29",29,-0.549726638909465,0.731714755858076,0.153914,2010,"GB","winter"
"30",30,-1.836227558718,0.548400066142708,0.1566904,2011,"GB","winter"
"31",31,-1.0646203092666,0.309407211338042,0.17923355,2012,"GB","winter"
"32",32,-1.63481364789033,0.702766063409518,0.1761043,2013,"GB","winter"
"33",33,-1.76015924015402,1.01744953533401,0.19239129,2014,"GB","winter"
"34",34,-0.966054568875336,2.06763573769227,0.18899402,2015,"GB","winter"
"35",35,-0.905809139662059,0.685895570732784,0.203701,2016,"GB","winter"
"36",36,-1.78551705814032,0.461786848416774,0.1307749,2017,"GB","winter"
"37",37,-1.03942727763907,1.5385151046331,0.2233136,2018,"GB","winter"
"38",38,-1.5785717545093,0.424181264096041,0.1979,2019,"GB","winter"
