"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.240972421082282,6.03193565069772,0.63828867463,1,1994,"GB","winter"
"2",2,0.918530797644134,2.24776639254388,0.57703778414,2,1995,"GB","winter"
"3",3,0.841879070228255,2.78000936077163,0.59114189644,3,1996,"GB","winter"
"4",4,0.576329420086608,1.19454927323723,0.6600067963,4,1997,"GB","winter"
"5",5,0.685392683347912,2.02671694984883,0.65773684975,5,1998,"GB","winter"
"6",6,0.626143487956497,2.08048768758439,0.67505801441,6,1999,"GB","winter"
"7",7,0.370878013766727,4.72705895766169,0.66313709121,7,2000,"GB","winter"
"8",8,1.12025630100147,5.15249913735061,0.61597773155,8,2001,"GB","winter"
"9",9,0.33461791085097,2.72583816436708,0.6339726071,9,2002,"GB","winter"
"10",10,0.978144895353229,3.29294943664471,0.66800775386,10,2003,"GB","winter"
"11",11,0.793421507859816,3.85310361497093,0.58373820436,11,2004,"GB","winter"
"12",12,1.66328884492334,3.38062459767833,0.53865640183,12,2005,"GB","winter"
"13",13,0.985528110659927,3.39607346303829,0.6591691794,13,2006,"GB","winter"
"14",14,0.785010193831522,1.9309657734035,0.64995524099,14,2007,"GB","winter"
"15",15,1.03325830996073,3.32863571520126,0.71685220599,15,2008,"GB","winter"
"16",16,1.02018983007222,5.47744941690022,0.64198234981,16,2009,"GB","winter"
"17",17,0.464951999380674,6.05916665682167,0.58152045094,17,2010,"GB","winter"
"18",18,0.67978784123997,4.74610293012746,0.61004652612,18,2011,"GB","winter"
"19",19,0.706391826313486,4.80993544852365,0.63787266293,19,2012,"GB","winter"
"20",20,0.414168342272193,3.37272609853003,0.6561369273,20,2013,"GB","winter"
"21",21,0.450668929390061,5.16575982005946,0.6788708595,21,2014,"GB","winter"
"22",22,-0.118787804693617,7.28442768785497,0.68479767569,22,2015,"GB","winter"
"23",23,0.531270617878127,2.54618530839746,0.6706120453,23,2016,"GB","winter"
"24",24,0.624670528102668,3.79616760366263,0.57174037412,24,2017,"GB","winter"
"25",25,0.347903505899422,5.44808698323959,0.60581146208,25,2018,"GB","winter"
