"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.830549206723905,0.200892537526486,0.81170498573524,1,1998,"GB","winter"
"2",2,0.295941505240636,0.189776832350962,0.77851496067847,2,1999,"GB","winter"
"3",3,0.407000144885317,0.233283067295013,0.79941533387604,3,2000,"GB","winter"
"4",4,0.545464751029799,0.192644255504982,0.77936777067715,4,2001,"GB","winter"
"5",5,0.688791040693929,0.192298859147954,0.79099663173006,5,2002,"GB","winter"
"6",6,0.97196683008152,0.16850079654763,0.81926107795063,6,2003,"GB","winter"
"7",7,0.457740653128501,0.273128098495744,0.8296832962554,7,2004,"GB","winter"
"8",8,0.832032440750927,0.257158129894059,0.81396684055768,8,2005,"GB","winter"
"9",9,0.83061147854909,0.138682511832629,0.85252244634327,9,2006,"GB","winter"
"10",10,0.92464974392984,0.177085467273613,0.82834091139766,10,2007,"GB","winter"
"11",11,0.41405836022941,0.254170736645893,0.79169049141151,11,2008,"GB","winter"
"12",12,0.825094715167469,0.285802964238593,0.80345420004806,12,2009,"GB","winter"
"13",13,1.26834775775046,0.22103974787387,0.79821408121861,13,2010,"GB","winter"
"14",14,0.943172016211477,0.235821158381089,0.73738207304291,14,2011,"GB","winter"
"15",15,0.914129177005796,0.194645497885185,0.82307816652886,15,2012,"GB","winter"
"16",16,0.473171421471643,0.216966484093333,0.79838137181064,16,2013,"GB","winter"
"17",17,0.649954079451107,0.334442455176424,0.81974253367609,17,2014,"GB","winter"
"18",18,0.0181695527052389,0.264494333407568,0.79961106317662,18,2015,"GB","winter"
"19",19,0.48182588906112,0.189743509512768,0.77794918603098,19,2016,"GB","winter"
"20",20,0.444154165831595,0.163055823532457,0.82762532314084,20,2017,"GB","winter"
"21",21,0.893803672317002,0.244364026258916,0.79485744520992,21,2018,"GB","winter"
"22",22,0.669019967713828,0.162792959808357,0.77294423567731,22,2019,"GB","winter"
