"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.902857166462028,0.0111981227775849,0.66889586,1,1998,"GB","winter"
"2",2,0.359485903372919,0.00979732079639282,0.61045722,2,1999,"GB","winter"
"3",3,0.933522286059434,0.00765938001420473,0.6450613,3,2000,"GB","winter"
"4",4,0.482134464352268,0.0090568844530178,0.72520391,4,2001,"GB","winter"
"5",5,0.980335777505619,0.00946792140181726,0.6469786,5,2002,"GB","winter"
"6",6,1.16603902139446,0.00791080364020321,0.64118149,6,2003,"GB","winter"
"7",7,1.48722414286194,0.00739206052940166,0.64116923,7,2004,"GB","winter"
"8",8,0.864484649762077,0.0097500697142313,0.59158007,8,2005,"GB","winter"
"9",9,1.43742471964609,0.00737473544487704,0.64048801,9,2006,"GB","winter"
"10",10,0.887649050108613,0.00601528287284332,0.68708612,10,2007,"GB","winter"
"11",11,1.0052596595224,0.00808559975298124,0.6502912,11,2008,"GB","winter"
"12",12,1.996059399335,0.00711554497682225,0.58310105,12,2009,"GB","winter"
"13",13,1.4323438799051,0.00777917278253129,0.58710267,13,2010,"GB","winter"
"14",14,1.14525655280391,0.00720758563600101,0.64364174,14,2011,"GB","winter"
"15",15,1.21756457067031,0.0109884997899826,0.68292679,15,2012,"GB","winter"
"16",16,0.550280818719462,0.00978577769465833,0.77529795,16,2013,"GB","winter"
"17",17,0.974664125432667,0.00956850060293648,0.71440398,17,2014,"GB","winter"
"18",18,0.0679299827094216,0.00813690226024168,0.71674735,18,2015,"GB","winter"
"19",19,0.654599419258285,0.00884566025884995,0.6801112,19,2016,"GB","winter"
"20",20,0.536130568160512,0.008820996466231,0.73389849,20,2017,"GB","winter"
"21",21,0.590886302271166,0.00618030753286089,0.72991594,21,2018,"GB","winter"
"22",22,0.540322751924156,0.00607021888330485,0.72420485,22,2019,"GB","winter"
