"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.309041297772011,0.0863481068405089,0.81170498573524,1,1998,"GB","winter"
"2",2,0.0116885216986972,0.0712028756626144,0.77851496067847,2,1999,"GB","winter"
"3",3,0.295308244382322,0.0546856928249193,0.79941533387604,3,2000,"GB","winter"
"4",4,-0.0886859645560302,0.0837541586106583,0.77936777067715,4,2001,"GB","winter"
"5",5,0.262870741592298,0.0577486284937634,0.79099663173006,5,2002,"GB","winter"
"6",6,0.298781792927373,0.0710230692267874,0.81926107795063,6,2003,"GB","winter"
"7",7,0.734074421049051,0.0579338420477979,0.8296832962554,7,2004,"GB","winter"
"8",8,0.38334091814673,0.0826183818458513,0.81396684055768,8,2005,"GB","winter"
"9",9,0.810251615578018,0.0471406473257221,0.85252244634327,9,2006,"GB","winter"
"10",10,0.217690740836948,0.0431944498286043,0.82834091139766,10,2007,"GB","winter"
"11",11,0.364121567213876,0.0671018783215663,0.79169049141151,11,2008,"GB","winter"
"12",12,1.0929329369249,0.0576139654129027,0.80345420004806,12,2009,"GB","winter"
"13",13,0.69257087887986,0.0647042832787373,0.79821408121861,13,2010,"GB","winter"
"14",14,0.439843222051378,0.0512233046484624,0.73738207304291,14,2011,"GB","winter"
"15",15,0.731984529373859,0.0645131173436186,0.82307816652886,15,2012,"GB","winter"
"16",16,0.144329485228869,0.0631988492268309,0.79838137181064,16,2013,"GB","winter"
"17",17,0.417283437639643,0.0684971271667248,0.81974253367609,17,2014,"GB","winter"
"18",18,-0.330351263654736,0.0601713403356531,0.79961106317662,18,2015,"GB","winter"
"19",19,0.176048532294203,0.0524460833813778,0.77794918603098,19,2016,"GB","winter"
"20",20,0.123030834227618,0.0608374511428778,0.82762532314084,20,2017,"GB","winter"
"21",21,0.111494691355167,0.0416072011394265,0.79485744520992,21,2018,"GB","winter"
"22",22,0.167909968488455,0.0526719948123772,0.77294423567731,22,2019,"GB","winter"
