"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.599587225089,0.104694003567312,0.66889586,1,1998,"GOM","fall"
"2",2,1.00114600366631,0.0800400683345643,0.61045722,2,1999,"GOM","fall"
"3",3,1.40156936868958,0.0733258669676597,0.6450613,3,2000,"GOM","fall"
"4",4,2.08328221972366,0.116045111905585,0.72520391,4,2001,"GOM","fall"
"5",5,2.92729769320872,0.0565448869032563,0.6469786,5,2002,"GOM","fall"
"6",6,2.31563513018778,0.112933144606667,0.64118149,6,2003,"GOM","fall"
"7",7,3.30151014056617,0.0494437577765969,0.64116923,7,2004,"GOM","fall"
"8",8,2.24387395988625,0.080022101131746,0.59158007,8,2005,"GOM","fall"
"9",9,2.73664621799208,0.0895075782222512,0.64048801,9,2006,"GOM","fall"
"10",10,2.65870452235837,0.0532964856526122,0.68708612,10,2007,"GOM","fall"
"11",11,2.67610393197551,0.0828853463837368,0.6502912,11,2008,"GOM","fall"
"12",12,3.43892536648813,0.0636243610234136,0.58310105,12,2009,"GOM","fall"
"13",13,2.4053216988349,0.10701712511709,0.58710267,13,2010,"GOM","fall"
"14",14,3.04864898982286,0.090270587155369,0.64364174,14,2011,"GOM","fall"
"15",15,3.9077696317676,0.0737693690507376,0.68292679,15,2012,"GOM","fall"
"16",16,2.24435923625493,0.0964409112709071,0.77529795,16,2013,"GOM","fall"
"17",17,3.46288550884135,0.0487987073300842,0.71440398,17,2014,"GOM","fall"
"18",18,3.98439377503039,0.15487116230928,0.71674735,18,2015,"GOM","fall"
"19",19,3.34045085665447,0.0674819148689578,0.6801112,19,2016,"GOM","fall"
"20",20,2.74067209307494,0.0762104690971033,0.73389849,20,2017,"GOM","fall"
"21",21,3.52838642746924,0.0677130222130289,0.72991594,21,2018,"GOM","fall"
"22",22,2.47636191343702,0.0626499675515134,0.72420485,22,2019,"GOM","fall"
