"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.10045522025248,0.478711583511639,0.881791562839,1,1998,"GOM","fall"
"2",2,0.62966200194957,0.382008309717551,0.870405739442,2,1999,"GOM","fall"
"3",3,-0.333274840400351,0.67198005991083,0.898143439896,3,2000,"GOM","fall"
"4",4,0.269812808847818,0.523630240357679,0.884719987355,4,2001,"GOM","fall"
"5",5,-0.601201768336985,0.147332074907785,0.900515867528,5,2002,"GOM","fall"
"6",6,0.455567538754419,0.156002308528093,0.864758230006,6,2003,"GOM","fall"
"7",7,-0.484280969083561,0.200373363585551,0.89602791689,7,2004,"GOM","fall"
"8",8,0.454872452216889,0.469486249331,0.87961518974,8,2005,"GOM","fall"
"9",9,-0.473303456566596,0.282646066557154,0.9010022174,9,2006,"GOM","fall"
"10",10,0.364902483740569,0.101868491953909,0.899453841425,10,2007,"GOM","fall"
"11",11,0.286540270360879,0.351008425233818,0.898518316103,11,2008,"GOM","fall"
"12",12,-0.278008300542105,0.483388372324227,0.893445021604,12,2009,"GOM","fall"
"13",13,0.479113037459475,0.339221314806127,0.896811430217,13,2010,"GOM","fall"
"14",14,0.00128190290924458,0.598554710644427,0.887380928539,14,2011,"GOM","fall"
"15",15,0.144673016909668,0.214534781908773,0.908977060386,15,2012,"GOM","fall"
"16",16,-0.427581419751694,0.294495589956184,0.881418635002,16,2013,"GOM","fall"
"17",17,-0.301219340442964,0.198634389935293,0.894771098536,17,2014,"GOM","fall"
"18",18,-0.0934315785136201,0.347704190526918,0.895166999427,18,2015,"GOM","fall"
"19",19,-0.22654566985883,0.551456847761017,0.903531775326,19,2016,"GOM","fall"
"20",20,-0.406927634971907,0.451174247439788,0.909450380875,20,2017,"GOM","fall"
"21",21,-0.0651386213385385,0.661509415619565,0.907523878938,21,2018,"GOM","fall"
"22",22,0.797232039712194,0.146700148263825,0.898055799499,22,2019,"GOM","fall"
