"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.931697308281592,0.00430242793599901,0.66889586,1,1998,"GOM","fall"
"2",2,0.822460245748908,0.0073217688339311,0.61045722,2,1999,"GOM","fall"
"3",3,0.891940445429386,0.0156457131656406,0.6450613,3,2000,"GOM","fall"
"4",4,1.35436272083983,0.00812740355329179,0.72520391,4,2001,"GOM","fall"
"5",5,1.68990675967534,0.003587046010639,0.6469786,5,2002,"GOM","fall"
"6",6,1.56143277111784,0.00459835910764857,0.64118149,6,2003,"GOM","fall"
"7",7,2.40603702853004,0.00337690505809799,0.64116923,7,2004,"GOM","fall"
"8",8,1.75714714896782,0.00227815380929138,0.59158007,8,2005,"GOM","fall"
"9",9,1.63041405318905,0.0038417510871639,0.64048801,9,2006,"GOM","fall"
"10",10,1.78855275125526,0.00162582389098319,0.68708612,10,2007,"GOM","fall"
"11",11,1.27954018920651,0.0029458105721596,0.6502912,11,2008,"GOM","fall"
"12",12,0.927603872204173,0.00300035360543354,0.58310105,12,2009,"GOM","fall"
"13",13,0.840171814766259,0.00404435641372715,0.58710267,13,2010,"GOM","fall"
"14",14,1.45813536253063,0.0055433754137636,0.64364174,14,2011,"GOM","fall"
"15",15,0.723051882567388,0.00317659797874847,0.68292679,15,2012,"GOM","fall"
"16",16,1.55771259202564,0.00856782291871402,0.77529795,16,2013,"GOM","fall"
"17",17,1.26844721352693,0.00316556541489665,0.71440398,17,2014,"GOM","fall"
"18",18,1.5210363255308,0.0076340839537515,0.71674735,18,2015,"GOM","fall"
"19",19,1.44899831288804,0.00640340498435621,0.6801112,19,2016,"GOM","fall"
"20",20,1.32811631764503,0.00388715295844137,0.73389849,20,2017,"GOM","fall"
"21",21,2.3661589175532,0.00360006665001294,0.72991594,21,2018,"GOM","fall"
"22",22,1.77793389300411,0.00289693358983641,0.72420485,22,2019,"GOM","fall"
