"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.625310437028184,0.0159967832373917,0.81170498573524,1,1998,"GOM","fall"
"2",2,0.444740787548071,0.0206569967730426,0.77851496067847,2,1999,"GOM","fall"
"3",3,0.582401949270631,0.0516328312304709,0.79941533387604,3,2000,"GOM","fall"
"4",4,1.01107610779326,0.0239391960947082,0.77936777067715,4,2001,"GOM","fall"
"5",5,1.31636417270197,0.0126026575670872,0.79099663173006,5,2002,"GOM","fall"
"6",6,1.15006452837663,0.0250370764441051,0.81926107795063,6,2003,"GOM","fall"
"7",7,1.82874034209072,0.0173442914557739,0.8296832962554,7,2004,"GOM","fall"
"8",8,1.37168110102726,0.0106292537264413,0.81396684055768,8,2005,"GOM","fall"
"9",9,1.14207394457173,0.0141785375241191,0.85252244634327,9,2006,"GOM","fall"
"10",10,1.41119928977504,0.00757064055572409,0.82834091139766,10,2007,"GOM","fall"
"11",11,0.656530793170181,0.0138132919677413,0.79169049141151,11,2008,"GOM","fall"
"12",12,0.50952871519349,0.0132326623738999,0.80345420004806,12,2009,"GOM","fall"
"13",13,0.461764750942604,0.0174089857830898,0.79821408121861,13,2010,"GOM","fall"
"14",14,1.08027451932013,0.0198703889906686,0.73738207304291,14,2011,"GOM","fall"
"15",15,0.351697079268478,0.0113748981841378,0.82307816652886,15,2012,"GOM","fall"
"16",16,1.06636792231988,0.0375243454117159,0.79838137181064,16,2013,"GOM","fall"
"17",17,0.745647355651994,0.0159195639425029,0.81974253367609,17,2014,"GOM","fall"
"18",18,1.03511730923319,0.0330634919670706,0.79961106317662,18,2015,"GOM","fall"
"19",19,0.905325742816392,0.0249650170907908,0.77794918603098,19,2016,"GOM","fall"
"20",20,0.947124771058758,0.0134100970892995,0.82762532314084,20,2017,"GOM","fall"
"21",21,1.51717817915453,0.0202741772031338,0.79485744520992,21,2018,"GOM","fall"
"22",22,1.33915066780139,0.0144844138826764,0.77294423567731,22,2019,"GOM","fall"
