"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.958690874013715,2.48526947390926,0.63828867463,1,1994,"GOM","spring"
"2",2,-1.11689504011731,2.69587856492668,0.57703778414,2,1995,"GOM","spring"
"3",3,-1.66904492654603,1.67707456517966,0.59114189644,3,1996,"GOM","spring"
"4",4,-1.17185911202427,1.00737453414681,0.6600067963,4,1997,"GOM","spring"
"5",5,-1.30826116798778,1.40559660669889,0.65773684975,5,1998,"GOM","spring"
"6",6,-0.875942793739277,1.12534070401423,0.67505801441,6,1999,"GOM","spring"
"7",7,-0.783713136828997,1.59204615202819,0.66313709121,7,2000,"GOM","spring"
"8",8,-1.42015435470237,1.86148009515632,0.61597773155,8,2001,"GOM","spring"
"9",9,-1.2122884033727,0.689212904578405,0.6339726071,9,2002,"GOM","spring"
"10",10,-0.839776591387532,3.30444479629587,0.66800775386,10,2003,"GOM","spring"
"11",11,-0.351313592657602,2.78258170469384,0.58373820436,11,2004,"GOM","spring"
"12",12,-1.24070694374454,1.33438585807267,0.53865640183,12,2005,"GOM","spring"
"13",13,-1.3724559209116,1.06347924975397,0.6591691794,13,2006,"GOM","spring"
"14",14,-1.20750429694523,2.19116415952291,0.64995524099,14,2007,"GOM","spring"
"15",15,-1.52534733499907,1.07737343183401,0.71685220599,15,2008,"GOM","spring"
"16",16,-1.02653403307255,1.76814776160448,0.64198234981,16,2009,"GOM","spring"
"17",17,0.0475007464710561,2.01455584973569,0.58152045094,17,2010,"GOM","spring"
"18",18,-2.01766787058351,2.16550839886805,0.61004652612,18,2011,"GOM","spring"
"19",19,-1.92210898998346,0.761560577045624,0.63787266293,19,2012,"GOM","spring"
"20",20,-1.56874374997849,1.01883659610791,0.6561369273,20,2013,"GOM","spring"
"21",21,-1.4976683032341,3.27430060146377,0.6788708595,21,2014,"GOM","spring"
"22",22,-0.915997688232759,4.32745036444329,0.68479767569,22,2015,"GOM","spring"
"23",23,-1.68173238414811,1.10795726463687,0.6706120453,23,2016,"GOM","spring"
"24",24,-1.05956529589737,2.81759054240684,0.57174037412,24,2017,"GOM","spring"
"25",25,-0.949845291138521,2.80825152659343,0.60581146208,25,2018,"GOM","spring"
