"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.169268541874519,0.0859337941880604,0.81170498573524,1,1998,"GOM","spring"
"2",2,1.08772900033702,0.0444963912589934,0.77851496067847,2,1999,"GOM","spring"
"3",3,0.934828503244091,0.0418866090694267,0.79941533387604,3,2000,"GOM","spring"
"4",4,1.39189867073389,0.0366456518077983,0.77936777067715,4,2001,"GOM","spring"
"5",5,1.66510166432488,0.0245934707002171,0.79099663173006,5,2002,"GOM","spring"
"6",6,1.20160793077427,0.0423085641741711,0.81926107795063,6,2003,"GOM","spring"
"7",7,0.89942289108877,0.0484402783592759,0.8296832962554,7,2004,"GOM","spring"
"8",8,1.62227334663195,0.0644604075646653,0.81396684055768,8,2005,"GOM","spring"
"9",9,1.40947260236855,0.0597338489481989,0.85252244634327,9,2006,"GOM","spring"
"10",10,1.88354445568612,0.0557077080976954,0.82834091139766,10,2007,"GOM","spring"
"11",11,1.00960828867855,0.0508249288343637,0.79169049141151,11,2008,"GOM","spring"
"12",12,1.27698910450232,0.0550446737988387,0.80345420004806,12,2009,"GOM","spring"
"13",13,1.70021168294814,0.0321297281073307,0.79821408121861,13,2010,"GOM","spring"
"14",14,1.81925066349841,0.0416915058409984,0.73738207304291,14,2011,"GOM","spring"
"15",15,1.22235401204848,0.047535818466276,0.82307816652886,15,2012,"GOM","spring"
"16",16,1.51548452835746,0.0773808953834604,0.79838137181064,16,2013,"GOM","spring"
"17",17,1.34137605018977,0.0523324114315572,0.81974253367609,17,2014,"GOM","spring"
"18",18,0.917845696934142,0.0339775900990984,0.79961106317662,18,2015,"GOM","spring"
"19",19,0.692238462283269,0.0220071088004772,0.77794918603098,19,2016,"GOM","spring"
"20",20,1.31292613632371,0.0561958043185153,0.82762532314084,20,2017,"GOM","spring"
"21",21,1.35987084842973,0.0310380229689506,0.79485744520992,21,2018,"GOM","spring"
"22",22,0.728597343290775,0.0338534253211688,0.77294423567731,22,2019,"GOM","spring"
