"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.444861808102299,2.25822830200564,0.881791562839,1,1998,"GOM","spring"
"2",2,-0.468812833965734,0.58347514263399,0.870405739442,2,1999,"GOM","spring"
"3",3,-0.932983127272223,0.899623709335182,0.898143439896,3,2000,"GOM","spring"
"4",4,0.362236762578357,0.881741345633576,0.884719987355,4,2001,"GOM","spring"
"5",5,0.351167802281773,1.43178780808692,0.900515867528,5,2002,"GOM","spring"
"6",6,1.1319157794332,0.420241476488452,0.864758230006,6,2003,"GOM","spring"
"7",7,0.206691941835407,0.971229179580731,0.89602791689,7,2004,"GOM","spring"
"8",8,0.468344647092669,1.2336496316336,0.87961518974,8,2005,"GOM","spring"
"9",9,0.376301012091108,0.902521320168236,0.9010022174,9,2006,"GOM","spring"
"10",10,-0.208600362194821,1.62071040306093,0.899453841425,10,2007,"GOM","spring"
"11",11,-0.753801633901008,1.55022426462325,0.898518316103,11,2008,"GOM","spring"
"12",12,-0.427258559688687,0.837748439301392,0.893445021604,12,2009,"GOM","spring"
"13",13,-0.545621110912254,0.498741054864464,0.896811430217,13,2010,"GOM","spring"
"14",14,-0.159044348148365,1.31795193701603,0.887380928539,14,2011,"GOM","spring"
"15",15,0.208884935638287,0.932528454558281,0.908977060386,15,2012,"GOM","spring"
"16",16,-0.191933171672883,1.32717816500002,0.881418635002,16,2013,"GOM","spring"
"17",17,0.276877620258675,1.25319201393754,0.894771098536,17,2014,"GOM","spring"
"18",18,0.18459138644881,0.912511516425683,0.895166999427,18,2015,"GOM","spring"
"19",19,-0.774705056149797,0.301106019180571,0.903531775326,19,2016,"GOM","spring"
"20",20,-0.154876680018447,0.801924586754207,0.909450380875,20,2017,"GOM","spring"
"21",21,0.191920879062059,1.62127309748392,0.907523878938,21,2018,"GOM","spring"
"22",22,0.166775481384975,0.614305764187863,0.898055799499,22,2019,"GOM","spring"
