"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.07505691513272,0.00581675866852907,0.66889586,1,1998,"GOM","spring"
"2",2,1.29786078954208,0.00415357157207111,0.61045722,2,1999,"GOM","spring"
"3",3,0.567289677919612,0.00401375851239945,0.6450613,3,2000,"GOM","spring"
"4",4,1.15969272409299,0.00225292297445624,0.72520391,4,2001,"GOM","spring"
"5",5,2.79451769788908,0.00440509015177806,0.6469786,5,2002,"GOM","spring"
"6",6,1.99455746630488,0.00718933665637294,0.64118149,6,2003,"GOM","spring"
"7",7,1.06733963873809,0.0125428131075098,0.64116923,7,2004,"GOM","spring"
"8",8,2.20804204762428,0.0170666437681202,0.59158007,8,2005,"GOM","spring"
"9",9,1.71250327082402,0.01558637197828,0.64048801,9,2006,"GOM","spring"
"10",10,2.59235798900117,0.0179535915437549,0.68708612,10,2007,"GOM","spring"
"11",11,1.74564559168342,0.0170192622193722,0.6502912,11,2008,"GOM","spring"
"12",12,1.69897296083439,0.01380664975878,0.58310105,12,2009,"GOM","spring"
"13",13,1.90854485234521,0.0108182400786231,0.58710267,13,2010,"GOM","spring"
"14",14,2.18619460855179,0.0141990773391521,0.64364174,14,2011,"GOM","spring"
"15",15,1.56042934050615,0.0229025960429896,0.68292679,15,2012,"GOM","spring"
"16",16,2.59672342557957,0.00846351546595248,0.77529795,16,2013,"GOM","spring"
"17",17,1.96882955950163,0.0135379361049766,0.71440398,17,2014,"GOM","spring"
"18",18,1.31958400154941,0.00324790817408044,0.71674735,18,2015,"GOM","spring"
"19",19,1.13184318342907,0.00335710388026988,0.6801112,19,2016,"GOM","spring"
"20",20,2.28879407395128,0.00945386272800687,0.73389849,20,2017,"GOM","spring"
"21",21,1.02754732116496,0.00554032141600367,0.72991594,21,2018,"GOM","spring"
"22",22,1.48977467272909,0.00445245061606088,0.72420485,22,2019,"GOM","spring"
