"","name","skewness","variance","moran","Year","EPU","season"
"1",1,-0.412601714712082,1.40711140628879,0.1205961,1982,"GOM","summer"
"2",2,-0.407761007630824,2.20718142758446,0.26155529,1983,"GOM","summer"
"3",3,-0.313598845133846,2.09810651147684,0.18255344,1984,"GOM","summer"
"4",4,-0.607352361321804,1.19345122988235,0.1381293,1985,"GOM","summer"
"5",5,-0.539304883820658,1.26990169379138,0.13931192,1986,"GOM","summer"
"6",6,-0.421303519986055,2.19568900628272,0.15355,1987,"GOM","summer"
"7",7,-0.506417001751765,1.61946319491286,0.15122764,1988,"GOM","summer"
"8",8,-0.46890128270113,1.56860336459707,0.17983028,1989,"GOM","summer"
"9",9,-0.399918267250474,1.01057986557726,0.19681443,1990,"GOM","summer"
"10",10,-0.263030777766312,1.30606230647689,0.21096417,1991,"GOM","summer"
"11",11,-0.309783314943333,1.23200175223212,0.15554412,1992,"GOM","summer"
"12",12,-0.455054085497905,1.53102640586388,0.15002447,1993,"GOM","summer"
"13",13,-0.405678001436989,1.122141832055,0.173908,1994,"GOM","summer"
"14",14,-0.368715248245039,1.38124237989376,0.1454646,1995,"GOM","summer"
"15",15,-0.103975909857665,1.06892168274798,0.20271629,1996,"GOM","summer"
"16",16,-0.411491629250188,1.55713308194108,0.22676753,1997,"GOM","summer"
"17",17,-0.359561537985656,1.50269420716043,0.083332339,1998,"GOM","summer"
"18",18,-0.465706793885833,1.41361967432448,0.17382934,1999,"GOM","summer"
"19",19,-0.47050876546141,0.879728033398764,0.21273708,2000,"GOM","summer"
"20",20,-0.246530882317229,1.84295938532385,0.15274628,2001,"GOM","summer"
"21",21,-0.456237521126689,0.914470793441846,0.20776829,2002,"GOM","summer"
"22",22,-0.52627071090235,1.80549666358653,0.161626,2003,"GOM","summer"
"23",23,-0.3002959494725,1.43416503471476,0.16944056,2004,"GOM","summer"
"24",24,-0.462642725693636,2.17264126184034,0.084286754,2005,"GOM","summer"
"25",25,-0.40551915823181,1.29879140526977,0.18132357,2006,"GOM","summer"
"26",26,-0.324613122140076,1.56494246709871,0.22646763,2007,"GOM","summer"
"27",27,-0.601865862712853,1.80106772913131,0.11191996,2008,"GOM","summer"
"28",28,-0.43585764482792,1.39748356714117,0.19706151,2009,"GOM","summer"
"29",29,-0.960436419720411,1.44671145627679,0.153914,2010,"GOM","summer"
"30",30,-0.254188461087676,1.35347145072314,0.1566904,2011,"GOM","summer"
"31",31,-0.555911924172851,1.2822740012808,0.17923355,2012,"GOM","summer"
"32",32,-0.701557452235546,1.2622517066322,0.1761043,2013,"GOM","summer"
"33",33,-0.7826956860924,1.82103602761175,0.19239129,2014,"GOM","summer"
"34",34,-0.650149138177969,1.04609978762059,0.18899402,2015,"GOM","summer"
"35",35,-0.776383650410694,1.60664601667881,0.203701,2016,"GOM","summer"
"36",36,-0.799524391157389,1.59685959221322,0.1307749,2017,"GOM","summer"
"37",37,-0.928228387397782,1.15122886396191,0.2233136,2018,"GOM","summer"
"38",38,-0.586770448526479,1.94511631884016,0.1979,2019,"GOM","summer"
