"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.823931731541157,0.0808251652176011,0.81170498573524,1,1998,"GOM","summer"
"2",2,0.911873770710952,0.0972488545482512,0.77851496067847,2,1999,"GOM","summer"
"3",3,0.647899013547339,0.23457755509669,0.79941533387604,3,2000,"GOM","summer"
"4",4,0.552484506479133,0.109884379106455,0.77936777067715,4,2001,"GOM","summer"
"5",5,0.794283953077962,0.101670833956471,0.79099663173006,5,2002,"GOM","summer"
"6",6,1.15983161638666,0.122591327030279,0.81926107795063,6,2003,"GOM","summer"
"7",7,1.74587925812835,0.101420927682719,0.8296832962554,7,2004,"GOM","summer"
"8",8,0.82281704040921,0.0741140445476194,0.81396684055768,8,2005,"GOM","summer"
"9",9,0.62320870340035,0.0874552666232013,0.85252244634327,9,2006,"GOM","summer"
"10",10,0.949306867814587,0.0672785556692202,0.82834091139766,10,2007,"GOM","summer"
"11",11,0.579507341973602,0.101780730583175,0.79169049141151,11,2008,"GOM","summer"
"12",12,0.95296719842172,0.10407796509408,0.80345420004806,12,2009,"GOM","summer"
"13",13,0.989298514968441,0.0620709410650145,0.79821408121861,13,2010,"GOM","summer"
"14",14,0.988862064647027,0.109369104758833,0.73738207304291,14,2011,"GOM","summer"
"15",15,0.289189279613114,0.0882853139023845,0.82307816652886,15,2012,"GOM","summer"
"16",16,0.941812059556419,0.143029293528688,0.79838137181064,16,2013,"GOM","summer"
"17",17,0.93890820931846,0.120719849975331,0.81974253367609,17,2014,"GOM","summer"
"18",18,1.19954472477477,0.123124854097389,0.79961106317662,18,2015,"GOM","summer"
"19",19,1.18329038397489,0.118329233411665,0.77794918603098,19,2016,"GOM","summer"
"20",20,1.9202120684525,0.0573879017268228,0.82762532314084,20,2017,"GOM","summer"
"21",21,1.7448860467521,0.0935143580697605,0.79485744520992,21,2018,"GOM","summer"
"22",22,1.89760306887049,0.0687966833356988,0.77294423567731,22,2019,"GOM","summer"
