"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.0310641975286445,0.502728303868493,0.881791562839,1,1998,"GOM","summer"
"2",2,-0.0958165413044562,0.426469749007195,0.870405739442,2,1999,"GOM","summer"
"3",3,0.0832723905072746,0.303421865839264,0.898143439896,3,2000,"GOM","summer"
"4",4,0.0712506185141414,1.03773971771456,0.884719987355,4,2001,"GOM","summer"
"5",5,-0.0327284137049456,0.925504890868031,0.900515867528,5,2002,"GOM","summer"
"6",6,0.126197597298039,1.00215540655326,0.864758230006,6,2003,"GOM","summer"
"7",7,0.0244657143686845,0.806062540445187,0.89602791689,7,2004,"GOM","summer"
"8",8,-0.0842245068957499,0.287620038616264,0.87961518974,8,2005,"GOM","summer"
"9",9,0.135318833113513,0.363593163964965,0.9010022174,9,2006,"GOM","summer"
"10",10,0.264446892114917,0.869678730179839,0.899453841425,10,2007,"GOM","summer"
"11",11,0.538919249676176,1.19826316324315,0.898518316103,11,2008,"GOM","summer"
"12",12,-0.252544717392641,0.393014578835587,0.893445021604,12,2009,"GOM","summer"
"13",13,-0.801628532311448,0.435559300856773,0.896811430217,13,2010,"GOM","summer"
"14",14,-0.625783138436552,1.39017595061653,0.887380928539,14,2011,"GOM","summer"
"15",15,-0.107500412864898,0.386523742505815,0.908977060386,15,2012,"GOM","summer"
"16",16,0.408449761116013,2.13146124624155,0.881418635002,16,2013,"GOM","summer"
"17",17,0.0331072416524433,0.497856130241662,0.894771098536,17,2014,"GOM","summer"
"18",18,-0.197429756394726,1.02528858108175,0.895166999427,18,2015,"GOM","summer"
"19",19,-0.437668713524399,0.271531079579097,0.903531775326,19,2016,"GOM","summer"
"20",20,-0.0945879841955911,1.63278266091964,0.909450380875,20,2017,"GOM","summer"
"21",21,-0.588990647547418,0.289837627265782,0.907523878938,21,2018,"GOM","summer"
"22",22,-0.407308125434352,0.924606281379461,0.898055799499,22,2019,"GOM","summer"
