"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.375058090474976,0.0358324957411949,0.81170498573524,1,1998,"GOM","summer"
"2",2,0.468086310858092,0.0223249260546351,0.77851496067847,2,1999,"GOM","summer"
"3",3,1.02237660535398,0.0335693172734324,0.79941533387604,3,2000,"GOM","summer"
"4",4,0.909101794340366,0.0302374121212299,0.77936777067715,4,2001,"GOM","summer"
"5",5,1.17895062488575,0.0185118652706605,0.79099663173006,5,2002,"GOM","summer"
"6",6,1.31506190080876,0.0165081162178956,0.81926107795063,6,2003,"GOM","summer"
"7",7,1.68312532569063,0.0197657817186248,0.8296832962554,7,2004,"GOM","summer"
"8",8,0.772079669623585,0.0305508696827993,0.81396684055768,8,2005,"GOM","summer"
"9",9,0.944181257117525,0.0217427262840995,0.85252244634327,9,2006,"GOM","summer"
"10",10,1.13648197826183,0.0139836530923354,0.82834091139766,10,2007,"GOM","summer"
"11",11,0.860788927616374,0.024706991002093,0.79169049141151,11,2008,"GOM","summer"
"12",12,1.1685204893116,0.0315846704941537,0.80345420004806,12,2009,"GOM","summer"
"13",13,0.785977660539383,0.0122984190936518,0.79821408121861,13,2010,"GOM","summer"
"14",14,0.859330040141357,0.0314576453926444,0.73738207304291,14,2011,"GOM","summer"
"15",15,0.918620088815221,0.0196240055659558,0.82307816652886,15,2012,"GOM","summer"
"16",16,1.40898965239256,0.0351666520764141,0.79838137181064,16,2013,"GOM","summer"
"17",17,1.26229469797462,0.0165588652061999,0.81974253367609,17,2014,"GOM","summer"
"18",18,1.46604630315974,0.01708162577554,0.79961106317662,18,2015,"GOM","summer"
"19",19,1.18302027494244,0.0181416676046894,0.77794918603098,19,2016,"GOM","summer"
"20",20,0.663862255533337,0.0222152039878101,0.82762532314084,20,2017,"GOM","summer"
"21",21,0.703996572539465,0.0220923889252717,0.79485744520992,21,2018,"GOM","summer"
"22",22,0.502032473618736,0.0173680666737779,0.77294423567731,22,2019,"GOM","summer"
