"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.191414057268192,0.685745413558247,0.63828867463,1,1994,"GOM","winter"
"2",2,-0.686377971721,0.425949153771906,0.57703778414,2,1995,"GOM","winter"
"3",3,-0.971541188567044,0.625194767533543,0.59114189644,3,1996,"GOM","winter"
"4",4,-0.266695598612367,0.0914889226971174,0.6600067963,4,1997,"GOM","winter"
"5",5,-0.113001181831792,0.266354341163519,0.65773684975,5,1998,"GOM","winter"
"6",6,-0.123877690715922,0.0943639930409528,0.67505801441,6,1999,"GOM","winter"
"7",7,-0.275168381209255,0.580855195212257,0.66313709121,7,2000,"GOM","winter"
"8",8,-0.254650317191387,0.324791245864515,0.61597773155,8,2001,"GOM","winter"
"9",9,0.206331769713434,0.137696787775457,0.6339726071,9,2002,"GOM","winter"
"10",10,-0.70897187611551,0.273721210934146,0.66800775386,10,2003,"GOM","winter"
"11",11,0.321264452732299,0.887278878105675,0.58373820436,11,2004,"GOM","winter"
"12",12,-0.179193008706068,0.300443887870562,0.53865640183,12,2005,"GOM","winter"
"13",13,-0.120495281211968,0.271231511246028,0.6591691794,13,2006,"GOM","winter"
"14",14,0.174643835576979,0.177963141572445,0.64995524099,14,2007,"GOM","winter"
"15",15,0.219510909223571,0.287221008039767,0.71685220599,15,2008,"GOM","winter"
"16",16,0.748345341950499,0.380749712672315,0.64198234981,16,2009,"GOM","winter"
"17",17,0.518430391796171,0.988554887516825,0.58152045094,17,2010,"GOM","winter"
"18",18,-0.489833267199286,0.499677972391361,0.61004652612,18,2011,"GOM","winter"
"19",19,-0.0458567068325709,0.088742613124443,0.63787266293,19,2012,"GOM","winter"
"20",20,0.455453211247349,0.299773359489236,0.6561369273,20,2013,"GOM","winter"
"21",21,-1.20074763998849,0.641634957780423,0.6788708595,21,2014,"GOM","winter"
"22",22,-0.603255130167248,0.762161444291753,0.68479767569,22,2015,"GOM","winter"
"23",23,0.2535085043239,0.293789181190602,0.6706120453,23,2016,"GOM","winter"
"24",24,-0.284006635512074,0.187220015984128,0.57174037412,24,2017,"GOM","winter"
"25",25,-0.31239057085515,0.844377715856506,0.60581146208,25,2018,"GOM","winter"
