"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,3.34523511714844,0.00980833441932285,0.66889586,1,1998,"GOM","winter"
"2",2,2.43949910931231,0.0551854326693366,0.61045722,2,1999,"GOM","winter"
"3",3,2.0795384733712,0.0187045857998815,0.6450613,3,2000,"GOM","winter"
"4",4,2.6777759589969,0.0175343290396135,0.72520391,4,2001,"GOM","winter"
"5",5,2.85701223635166,0.0243154768935245,0.6469786,5,2002,"GOM","winter"
"6",6,3.02928726784178,0.0324465985954148,0.64118149,6,2003,"GOM","winter"
"7",7,2.27232400567081,0.0365834564491577,0.64116923,7,2004,"GOM","winter"
"8",8,3.0261436532223,0.0549986429427632,0.59158007,8,2005,"GOM","winter"
"9",9,2.3926830417677,0.0384989341788749,0.64048801,9,2006,"GOM","winter"
"10",10,2.49912180649643,0.0410426771685762,0.68708612,10,2007,"GOM","winter"
"11",11,2.48141064353561,0.0437324351494674,0.6502912,11,2008,"GOM","winter"
"12",12,1.96321274604641,0.0210153275303564,0.58310105,12,2009,"GOM","winter"
"13",13,2.62158014658426,0.0475359291736123,0.58710267,13,2010,"GOM","winter"
"14",14,2.14603516372392,0.0404824914941507,0.64364174,14,2011,"GOM","winter"
"15",15,1.60267479761975,0.0601462834045063,0.68292679,15,2012,"GOM","winter"
"16",16,3.47956246345831,0.0290394431522795,0.77529795,16,2013,"GOM","winter"
"17",17,2.42391900697552,0.0152453062946107,0.71440398,17,2014,"GOM","winter"
"18",18,3.19912663537838,0.0279330326336846,0.71674735,18,2015,"GOM","winter"
"19",19,2.02362496711554,0.0371564833243025,0.6801112,19,2016,"GOM","winter"
"20",20,2.39174138010515,0.0269035176887147,0.73389849,20,2017,"GOM","winter"
"21",21,1.71499166865213,0.0308162577272398,0.72991594,21,2018,"GOM","winter"
"22",22,2.65234236688398,0.0144546964419775,0.72420485,22,2019,"GOM","winter"
