"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.17050235042646,0.0220872175212222,0.81170498573524,1,1998,"GOM","winter"
"2",2,1.81113339565014,0.0682363792688871,0.77851496067847,2,1999,"GOM","winter"
"3",3,1.30984739029294,0.0395188489061079,0.79941533387604,3,2000,"GOM","winter"
"4",4,1.91975934478034,0.0312843515300261,0.77936777067715,4,2001,"GOM","winter"
"5",5,2.14013631989307,0.0484384104546463,0.79099663173006,5,2002,"GOM","winter"
"6",6,2.1509059947587,0.0559553160181729,0.81926107795063,6,2003,"GOM","winter"
"7",7,1.59962034744472,0.0627321955309486,0.8296832962554,7,2004,"GOM","winter"
"8",8,2.1349650025672,0.0831142407863171,0.81396684055768,8,2005,"GOM","winter"
"9",9,1.61647558465242,0.0531950910381484,0.85252244634327,9,2006,"GOM","winter"
"10",10,1.76489294981318,0.0686367332706211,0.82834091139766,10,2007,"GOM","winter"
"11",11,1.76050505448576,0.0747145103052921,0.79169049141151,11,2008,"GOM","winter"
"12",12,1.35159084685496,0.0443056993213047,0.80345420004806,12,2009,"GOM","winter"
"13",13,1.65160719949351,0.066068296992486,0.79821408121861,13,2010,"GOM","winter"
"14",14,1.58383273207751,0.0544898369775457,0.73738207304291,14,2011,"GOM","winter"
"15",15,0.719216084238311,0.0818902107191512,0.82307816652886,15,2012,"GOM","winter"
"16",16,2.37261205942612,0.0416333423600331,0.79838137181064,16,2013,"GOM","winter"
"17",17,1.64202945962743,0.0294402253223172,0.81974253367609,17,2014,"GOM","winter"
"18",18,1.97410913450879,0.0458222659750783,0.79961106317662,18,2015,"GOM","winter"
"19",19,1.38301494580094,0.0552332363215436,0.77794918603098,19,2016,"GOM","winter"
"20",20,1.65606622369799,0.0510947726584795,0.82762532314084,20,2017,"GOM","winter"
"21",21,0.876041307404043,0.0484730181571715,0.79485744520992,21,2018,"GOM","winter"
"22",22,1.76137982305399,0.0317384684273597,0.77294423567731,22,2019,"GOM","winter"
