"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.32105703181229,0.000587811878168801,0.66889586,1,1998,"GOM","winter"
"2",2,1.10454162566632,0.00324990424038886,0.61045722,2,1999,"GOM","winter"
"3",3,1.40670002942427,0.00117229536653893,0.6450613,3,2000,"GOM","winter"
"4",4,1.5979041654359,0.0014581298207979,0.72520391,4,2001,"GOM","winter"
"5",5,1.878405927646,0.00215190095570112,0.6469786,5,2002,"GOM","winter"
"6",6,2.17520561033877,0.00152107535799404,0.64118149,6,2003,"GOM","winter"
"7",7,1.25554813269981,0.00244593945991099,0.64116923,7,2004,"GOM","winter"
"8",8,2.33095287250192,0.0015052180585621,0.59158007,8,2005,"GOM","winter"
"9",9,1.31576723057515,0.00197832392088628,0.64048801,9,2006,"GOM","winter"
"10",10,1.39690739072854,0.00224915858865461,0.68708612,10,2007,"GOM","winter"
"11",11,1.34133476577424,0.00157823700560207,0.6502912,11,2008,"GOM","winter"
"12",12,0.901377500752298,0.00155146830416042,0.58310105,12,2009,"GOM","winter"
"13",13,2.02879710055716,0.00201441630417921,0.58710267,13,2010,"GOM","winter"
"14",14,1.52528894348534,0.00226236979581439,0.64364174,14,2011,"GOM","winter"
"15",15,1.71937925224772,0.0020219183891153,0.68292679,15,2012,"GOM","winter"
"16",16,1.42160615120991,0.00216057740636346,0.77529795,16,2013,"GOM","winter"
"17",17,0.477684352592954,0.00112513993326848,0.71440398,17,2014,"GOM","winter"
"18",18,0.478535701227709,0.0028223442986214,0.71674735,18,2015,"GOM","winter"
"19",19,1.35120219358755,0.00310271354760115,0.6801112,19,2016,"GOM","winter"
"20",20,1.88296431476492,0.00165366445097025,0.73389849,20,2017,"GOM","winter"
"21",21,1.30629346621198,0.000975753426046529,0.72991594,21,2018,"GOM","winter"
"22",22,1.62095673176194,0.000980661817236554,0.72420485,22,2019,"GOM","winter"
