"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.84691332780207,0.00963508003898658,0.81170498573524,1,1998,"GOM","winter"
"2",2,0.666208765662405,0.0343661862970977,0.77851496067847,2,1999,"GOM","winter"
"3",3,0.847959197214713,0.0156427645086922,0.79941533387604,3,2000,"GOM","winter"
"4",4,1.02598581799666,0.0178001148980371,0.77936777067715,4,2001,"GOM","winter"
"5",5,1.36138272923514,0.0238861729617835,0.79099663173006,5,2002,"GOM","winter"
"6",6,1.57404740833789,0.0211639622988722,0.81926107795063,6,2003,"GOM","winter"
"7",7,0.801090409353183,0.0376410988131969,0.8296832962554,7,2004,"GOM","winter"
"8",8,1.89752386440316,0.0210115852239606,0.81396684055768,8,2005,"GOM","winter"
"9",9,0.953666330720855,0.0228846879973115,0.85252244634327,9,2006,"GOM","winter"
"10",10,0.922893399603337,0.0285329807644124,0.82834091139766,10,2007,"GOM","winter"
"11",11,0.983317658345777,0.0251683372889547,0.79169049141151,11,2008,"GOM","winter"
"12",12,0.57339252114839,0.0245431121028998,0.80345420004806,12,2009,"GOM","winter"
"13",13,1.45792555600366,0.0237888602789752,0.79821408121861,13,2010,"GOM","winter"
"14",14,1.07055453705712,0.0284111398214665,0.73738207304291,14,2011,"GOM","winter"
"15",15,1.35398747122855,0.0198106629235608,0.82307816652886,15,2012,"GOM","winter"
"16",16,0.719910754978771,0.0223274230236638,0.79838137181064,16,2013,"GOM","winter"
"17",17,0.0215847572301572,0.0179503261688871,0.81974253367609,17,2014,"GOM","winter"
"18",18,-0.269386539741594,0.0482375543235839,0.79961106317662,18,2015,"GOM","winter"
"19",19,0.644180389591733,0.0301875630595518,0.77794918603098,19,2016,"GOM","winter"
"20",20,1.25654540798269,0.0204517443916322,0.82762532314084,20,2017,"GOM","winter"
"21",21,0.882313094214682,0.0118029965621779,0.79485744520992,21,2018,"GOM","winter"
"22",22,0.91978670670987,0.0136317265165921,0.77294423567731,22,2019,"GOM","winter"
