"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.0974786860897057,0.0825494663128209,0.3437988647596,1,1983,"GOM","winter"
"2",2,-0.174726885340773,0.168669063420546,0.335533036292,2,1984,"GOM","winter"
"3",3,-0.821873334474033,0.212837013259319,0.3158908091316,3,1985,"GOM","winter"
"4",4,-0.34182626363374,0.0683657078042826,0.31525682531,4,1986,"GOM","winter"
"5",5,-0.392806052063133,0.108305323269263,0.3101264084617,5,1987,"GOM","winter"
"6",6,-0.353617339306164,0.193373874478163,0.3071875712583,6,1988,"GOM","winter"
"7",7,-0.211983767017922,0.139356195029169,0.3223158521775,7,1989,"GOM","winter"
"8",8,-0.0846991613792876,0.160972169015742,0.332209086667,8,1990,"GOM","winter"
"9",9,-0.756639606129501,0.109681449130211,0.3162604458782,9,1991,"GOM","winter"
"10",10,-0.0481979950263594,0.173617203475513,0.322162285003,10,1992,"GOM","winter"
"11",11,-0.24126506660285,0.290375020091724,0.30612553426,11,1993,"GOM","winter"
"12",12,0.0216408621853332,0.127599799581928,0.3526906332261,12,1994,"GOM","winter"
"13",13,-1.9173569713296,0.143289003216057,0.340893086857,13,1995,"GOM","winter"
"14",14,-0.0166560680813527,0.327416233110368,0.3568306905974,14,1996,"GOM","winter"
"15",15,0.311820156543493,0.237986768672989,0.336057737404,15,1997,"GOM","winter"
"16",16,-0.315513785230799,0.100868162696472,0.344876376726,16,1998,"GOM","winter"
"17",17,0.0702392557066287,0.256976012611561,0.3356778308203,17,1999,"GOM","winter"
"18",18,-0.0318346875445274,0.134052011996186,0.276996047345,18,2000,"GOM","winter"
"19",19,-2.09092645093426,0.10748713997013,0.2994865704548,19,2001,"GOM","winter"
"20",20,0.128226769953897,0.17021933907352,0.3395033139116,20,2002,"GOM","winter"
"21",21,-0.452776534690257,0.157552710347734,0.3440752201649,21,2003,"GOM","winter"
"22",22,0.108450513015973,0.170860677282974,0.3149410506732,22,2004,"GOM","winter"
"23",23,-0.0690342367159955,0.233662201062499,0.3523793307469,23,2005,"GOM","winter"
"24",24,-0.0238589708959576,0.170461411163831,0.3615306189995,24,2006,"GOM","winter"
"25",25,0.379986440131979,0.0641589417616218,0.3404807625589,25,2007,"GOM","winter"
"26",26,-0.11580762878085,0.113885074872082,0.3552781854168,26,2008,"GOM","winter"
"27",27,-0.205766869375788,0.0795010804715846,0.366872377424,27,2009,"GOM","winter"
"28",28,-0.420045689518723,0.0634815680944582,0.364358107144,28,2010,"GOM","winter"
"29",29,-0.141415602009763,0.180299231816926,0.3432709368721,29,2011,"GOM","winter"
"30",30,0.165485384350258,0.107006621635024,0.3558215108988,30,2012,"GOM","winter"
"31",31,-0.115255084730809,0.0692457986648321,0.3741036052027,31,2013,"GOM","winter"
"32",32,0.102504116460729,0.14167278571281,0.343548380138,32,2014,"GOM","winter"
"33",33,-0.130579466010355,0.228294549439826,0.2516226755798,33,2015,"GOM","winter"
"34",34,0.212831041815452,0.144244901266694,0.3475344429942,34,2016,"GOM","winter"
"35",35,-0.0636891175482509,0.130839134814933,0.3274642477572,35,2017,"GOM","winter"
"36",36,-0.0231820452235072,0.230365751137853,0.3661980356616,36,2018,"GOM","winter"
"37",37,-0.818447765798977,0.242433849025346,0.338806709597,37,2019,"GOM","winter"
"38",38,0.257549407106085,0.24643580793242,0.3551966178582,38,2020,"GOM","winter"
