"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.09963299509158,0.135391080881309,0.66889586,1,1998,"MAB","fall"
"2",2,1.91005923574057,0.221627312228136,0.61045722,2,1999,"MAB","fall"
"3",3,1.29175334056549,0.14908894029444,0.6450613,3,2000,"MAB","fall"
"4",4,1.41573144490395,0.163803797803695,0.72520391,4,2001,"MAB","fall"
"5",5,2.09201802559415,0.213655727115039,0.6469786,5,2002,"MAB","fall"
"6",6,1.98379315625119,0.234181893862318,0.64118149,6,2003,"MAB","fall"
"7",7,1.97988253080117,0.205589264506417,0.64116923,7,2004,"MAB","fall"
"8",8,1.32604252916908,0.31913138816062,0.59158007,8,2005,"MAB","fall"
"9",9,2.35292735550715,0.173419749027522,0.64048801,9,2006,"MAB","fall"
"10",10,2.58917080863185,0.222648950967223,0.68708612,10,2007,"MAB","fall"
"11",11,1.92525664737202,0.174372822799305,0.6502912,11,2008,"MAB","fall"
"12",12,1.59016007751164,0.231506771692496,0.58310105,12,2009,"MAB","fall"
"13",13,1.95746488892611,0.297954462148434,0.58710267,13,2010,"MAB","fall"
"14",14,1.70274819101303,0.263405571027649,0.64364174,14,2011,"MAB","fall"
"15",15,1.42340463332541,0.321910671783062,0.68292679,15,2012,"MAB","fall"
"16",16,1.23640075886258,0.169170027952651,0.77529795,16,2013,"MAB","fall"
"17",17,1.67882520428698,0.238255906862494,0.71440398,17,2014,"MAB","fall"
"18",18,1.18985520431352,0.13029662206016,0.71674735,18,2015,"MAB","fall"
"19",19,1.09684417566507,0.124937144652162,0.6801112,19,2016,"MAB","fall"
"20",20,0.947046247356601,0.13283218177625,0.73389849,20,2017,"MAB","fall"
"21",21,1.24705209470796,0.144236273705257,0.72991594,21,2018,"MAB","fall"
"22",22,1.06631033512687,0.137703587434651,0.72420485,22,2019,"MAB","fall"
