"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.739183347848781,0.114636884692205,0.81170498573524,1,1998,"MAB","fall"
"2",2,0.192373254723966,0.207652339353381,0.77851496067847,2,1999,"MAB","fall"
"3",3,0.347489766947078,0.142012066968766,0.79941533387604,3,2000,"MAB","fall"
"4",4,0.445484347925739,0.16109837701029,0.77936777067715,4,2001,"MAB","fall"
"5",5,0.278146955584034,0.197862490042064,0.79099663173006,5,2002,"MAB","fall"
"6",6,0.492473393236244,0.175057771159406,0.81926107795063,6,2003,"MAB","fall"
"7",7,0.35031435731115,0.137912976532844,0.8296832962554,7,2004,"MAB","fall"
"8",8,0.132301464498973,0.16954667844923,0.81396684055768,8,2005,"MAB","fall"
"9",9,0.727084642786647,0.124389161276572,0.85252244634327,9,2006,"MAB","fall"
"10",10,0.602401829609047,0.168764697629884,0.82834091139766,10,2007,"MAB","fall"
"11",11,0.116349158348324,0.158540229336058,0.79169049141151,11,2008,"MAB","fall"
"12",12,0.0273470763858091,0.178234872506144,0.80345420004806,12,2009,"MAB","fall"
"13",13,0.635558996566887,0.151203516177342,0.79821408121861,13,2010,"MAB","fall"
"14",14,0.303490819043114,0.146936102139211,0.73738207304291,14,2011,"MAB","fall"
"15",15,0.102626060516153,0.287035106361009,0.82307816652886,15,2012,"MAB","fall"
"16",16,0.227259286427192,0.183567217614479,0.79838137181064,16,2013,"MAB","fall"
"17",17,0.229863192311085,0.20373473841241,0.81974253367609,17,2014,"MAB","fall"
"18",18,0.215642250491682,0.132209002662521,0.79961106317662,18,2015,"MAB","fall"
"19",19,-0.0220833533431598,0.14591273852901,0.77794918603098,19,2016,"MAB","fall"
"20",20,0.151517892261549,0.146209565244981,0.82762532314084,20,2017,"MAB","fall"
"21",21,0.349792808897697,0.124809593752952,0.79485744520992,21,2018,"MAB","fall"
"22",22,-0.225965281609791,0.138398280577443,0.77294423567731,22,2019,"MAB","fall"
