"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.6553698962678,0.854054360496557,0.881791562839,1,1998,"MAB","fall"
"2",2,0.569131507472574,2.38979358388057,0.870405739442,2,1999,"MAB","fall"
"3",3,0.164186266116928,4.05543225482865,0.898143439896,3,2000,"MAB","fall"
"4",4,0.478373422237806,2.77338649359955,0.884719987355,4,2001,"MAB","fall"
"5",5,0.511252570688443,2.15641877344657,0.900515867528,5,2002,"MAB","fall"
"6",6,0.382934580377661,4.10991511711241,0.864758230006,6,2003,"MAB","fall"
"7",7,0.636287216775409,2.12848780823185,0.89602791689,7,2004,"MAB","fall"
"8",8,0.339342093721736,3.1830634885158,0.87961518974,8,2005,"MAB","fall"
"9",9,0.618839261762417,2.86900553855971,0.9010022174,9,2006,"MAB","fall"
"10",10,0.911051062070979,4.00144884506301,0.899453841425,10,2007,"MAB","fall"
"11",11,0.620840473346364,1.7915502806173,0.898518316103,11,2008,"MAB","fall"
"12",12,0.363821165377232,1.85006675497635,0.893445021604,12,2009,"MAB","fall"
"13",13,0.595833357076931,3.74492060356879,0.896811430217,13,2010,"MAB","fall"
"14",14,0.382455032066602,3.24153789888004,0.887380928539,14,2011,"MAB","fall"
"15",15,0.516478806643621,1.93990082637759,0.908977060386,15,2012,"MAB","fall"
"16",16,0.596915320512849,1.97136827979763,0.881418635002,16,2013,"MAB","fall"
"17",17,0.625957374302755,4.85886908760139,0.894771098536,17,2014,"MAB","fall"
"18",18,1.02997998105476,1.59651040683365,0.895166999427,18,2015,"MAB","fall"
"19",19,0.382590015136991,4.69775301864236,0.903531775326,19,2016,"MAB","fall"
"20",20,0.397582057786871,2.48482168813755,0.909450380875,20,2017,"MAB","fall"
"21",21,0.472857492189508,3.29176461282377,0.907523878938,21,2018,"MAB","fall"
"22",22,0.751360926030505,2.97811788386158,0.898055799499,22,2019,"MAB","fall"
