"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.0077620198723,0.0197471779660994,0.66889586,1,1998,"MAB","fall"
"2",2,1.26889860318013,0.0487233094418316,0.61045722,2,1999,"MAB","fall"
"3",3,0.928449095896692,0.0360391794793073,0.6450613,3,2000,"MAB","fall"
"4",4,0.82053045144297,0.0351505782158694,0.72520391,4,2001,"MAB","fall"
"5",5,0.751003961509826,0.0233186630997919,0.6469786,5,2002,"MAB","fall"
"6",6,1.1440978049574,0.0285629399528722,0.64118149,6,2003,"MAB","fall"
"7",7,0.844353965773788,0.0246270419463947,0.64116923,7,2004,"MAB","fall"
"8",8,0.542014215881175,0.0187465956219944,0.59158007,8,2005,"MAB","fall"
"9",9,1.22118308846678,0.0208292459169423,0.64048801,9,2006,"MAB","fall"
"10",10,1.61594594384005,0.02557127548602,0.68708612,10,2007,"MAB","fall"
"11",11,2.05779758669475,0.0635125886895833,0.6502912,11,2008,"MAB","fall"
"12",12,1.01040360258281,0.0159241544174376,0.58310105,12,2009,"MAB","fall"
"13",13,1.63864888036413,0.0241159660178402,0.58710267,13,2010,"MAB","fall"
"14",14,0.986392088957951,0.0527163364881439,0.64364174,14,2011,"MAB","fall"
"15",15,1.59417562524474,0.0127134913920967,0.68292679,15,2012,"MAB","fall"
"16",16,1.17421366446898,0.0146295054807986,0.77529795,16,2013,"MAB","fall"
"17",17,0.810511411027409,0.0176586898220933,0.71440398,17,2014,"MAB","fall"
"18",18,0.704272074726835,0.0424785182224081,0.71674735,18,2015,"MAB","fall"
"19",19,0.935296927851654,0.0217118631865702,0.6801112,19,2016,"MAB","fall"
"20",20,0.693120545710201,0.0209889596386552,0.73389849,20,2017,"MAB","fall"
"21",21,1.25144572810066,0.0219069985304868,0.72991594,21,2018,"MAB","fall"
"22",22,1.0237381292089,0.0139811393462001,0.72420485,22,2019,"MAB","fall"
