"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.22345803956573,0.0480720196694509,0.81170498573524,1,1998,"MAB","fall"
"2",2,0.437878990886832,0.0926093924549811,0.77851496067847,2,1999,"MAB","fall"
"3",3,0.397277611901594,0.0883274250014766,0.79941533387604,3,2000,"MAB","fall"
"4",4,0.322152109914625,0.0776602986036586,0.77936777067715,4,2001,"MAB","fall"
"5",5,0.124332150672243,0.0767042373013609,0.79099663173006,5,2002,"MAB","fall"
"6",6,0.349075527984756,0.0808313323386364,0.81926107795063,6,2003,"MAB","fall"
"7",7,0.229854328264657,0.0790275709506286,0.8296832962554,7,2004,"MAB","fall"
"8",8,-0.0329006628507633,0.0605526133285261,0.81396684055768,8,2005,"MAB","fall"
"9",9,0.57776454410644,0.056322909733212,0.85252244634327,9,2006,"MAB","fall"
"10",10,0.782573536265433,0.091799446540216,0.82834091139766,10,2007,"MAB","fall"
"11",11,1.29474180701819,0.127027405284907,0.79169049141151,11,2008,"MAB","fall"
"12",12,0.390206575801002,0.0509313508720628,0.80345420004806,12,2009,"MAB","fall"
"13",13,1.07932886733072,0.0684794884321487,0.79821408121861,13,2010,"MAB","fall"
"14",14,0.433080542971852,0.0835201158514155,0.73738207304291,14,2011,"MAB","fall"
"15",15,0.983412083502267,0.0429026384912874,0.82307816652886,15,2012,"MAB","fall"
"16",16,0.429355816272661,0.062595711615059,0.79838137181064,16,2013,"MAB","fall"
"17",17,0.155077683877997,0.0742108130112154,0.81974253367609,17,2014,"MAB","fall"
"18",18,0.150943611934274,0.105714605981928,0.79961106317662,18,2015,"MAB","fall"
"19",19,0.274758237534316,0.0702857014341025,0.77794918603098,19,2016,"MAB","fall"
"20",20,0.150596075672344,0.0590371508701785,0.82762532314084,20,2017,"MAB","fall"
"21",21,0.708999887245287,0.0733032187579179,0.79485744520992,21,2018,"MAB","fall"
"22",22,0.314336765416769,0.0461192742349966,0.77294423567731,22,2019,"MAB","fall"
