"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.318327422153914,0.839393887628136,0.3437988647596,1,1983,"MAB","fall"
"2",2,0.606586277891847,0.698694742618214,0.335533036292,2,1984,"MAB","fall"
"3",3,0.470889327166638,0.634913328663158,0.3158908091316,3,1985,"MAB","fall"
"4",4,0.824133286514686,1.72064316270962,0.31525682531,4,1986,"MAB","fall"
"5",5,0.465098757620202,1.80773744842263,0.3101264084617,5,1987,"MAB","fall"
"6",6,0.787664014053206,0.931373255738119,0.3071875712583,6,1988,"MAB","fall"
"7",7,1.20180357912991,1.08807952360803,0.3223158521775,7,1989,"MAB","fall"
"8",8,1.26697255167901,1.07266691358612,0.332209086667,8,1990,"MAB","fall"
"9",9,0.952849948590423,0.967382029228945,0.3162604458782,9,1991,"MAB","fall"
"10",10,0.814716436816572,0.987904916680767,0.322162285003,10,1992,"MAB","fall"
"11",11,0.711560236302552,0.810327072723666,0.30612553426,11,1993,"MAB","fall"
"12",12,1.37190104778603,1.54387577068174,0.3526906332261,12,1994,"MAB","fall"
"13",13,1.37420886133829,1.4442245382411,0.340893086857,13,1995,"MAB","fall"
"14",14,0.928516105043719,1.05102381714402,0.3568306905974,14,1996,"MAB","fall"
"15",15,0.811205680464491,0.963404605823761,0.336057737404,15,1997,"MAB","fall"
"16",16,1.01140965228572,0.872273256428145,0.344876376726,16,1998,"MAB","fall"
"17",17,0.966361658791798,1.9502143161873,0.3356778308203,17,1999,"MAB","fall"
"18",18,0.935890707869925,1.50949144384266,0.276996047345,18,2000,"MAB","fall"
"19",19,1.19538275426807,1.31997726985029,0.2994865704548,19,2001,"MAB","fall"
"20",20,0.793774334587796,0.806094788911784,0.3395033139116,20,2002,"MAB","fall"
"21",21,0.613818830062237,0.882564925981428,0.3440752201649,21,2003,"MAB","fall"
"22",22,0.975146517123332,1.15047479519097,0.3149410506732,22,2004,"MAB","fall"
"23",23,0.741963521963147,0.98460759498838,0.3523793307469,23,2005,"MAB","fall"
"24",24,1.20429317262762,0.78343956948188,0.3615306189995,24,2006,"MAB","fall"
"25",25,1.2713566507498,0.844200071904983,0.3404807625589,25,2007,"MAB","fall"
"26",26,0.68029089967941,2.05923192584978,0.3552781854168,26,2008,"MAB","fall"
"27",27,0.407380341011426,0.54585725779974,0.366872377424,27,2009,"MAB","fall"
"28",28,-0.0541060997340162,0.898400961879168,0.364358107144,28,2010,"MAB","fall"
"29",29,0.496146958529681,0.6164807853005,0.3432709368721,29,2011,"MAB","fall"
"30",30,0.22808181755066,0.608972757227311,0.3558215108988,30,2012,"MAB","fall"
"31",31,0.0678503605153369,0.704041148768862,0.3741036052027,31,2013,"MAB","fall"
"32",32,0.230171834998906,0.754438910792031,0.343548380138,32,2014,"MAB","fall"
"33",33,0.039187980952335,0.58489549703729,0.2516226755798,33,2015,"MAB","fall"
"34",34,0.423393227850323,0.961224295657526,0.3475344429942,34,2016,"MAB","fall"
"35",35,0.334842121970988,0.613325558704226,0.3274642477572,35,2017,"MAB","fall"
"36",36,0.83960350232444,0.907020922429246,0.3661980356616,36,2018,"MAB","fall"
"37",37,0.905687891585345,0.853609826248505,0.338806709597,37,2019,"MAB","fall"
"38",38,0.133944767644712,0.770945479334586,0.3551966178582,38,2020,"MAB","fall"
