"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.899618238373037,6.10138044603543,0.63828867463,1,1994,"MAB","spring"
"2",2,0.959974423028583,3.87407580203023,0.57703778414,2,1995,"MAB","spring"
"3",3,1.25499393969999,3.5034253502417,0.59114189644,3,1996,"MAB","spring"
"4",4,0.617524321191369,5.16028221552417,0.6600067963,4,1997,"MAB","spring"
"5",5,2.34114303198117,3.90094434338628,0.65773684975,5,1998,"MAB","spring"
"6",6,0.46287599839976,4.64192620724567,0.67505801441,6,1999,"MAB","spring"
"7",7,0.666303816092892,4.31045755512647,0.66313709121,7,2000,"MAB","spring"
"8",8,1.1815677972609,3.97468517154427,0.61597773155,8,2001,"MAB","spring"
"9",9,0.66217455462442,3.946581439952,0.6339726071,9,2002,"MAB","spring"
"10",10,0.595137767445423,3.56892649460496,0.66800775386,10,2003,"MAB","spring"
"11",11,1.06562473725247,3.12526877282735,0.58373820436,11,2004,"MAB","spring"
"12",12,0.924834336349594,2.37205223121918,0.53865640183,12,2005,"MAB","spring"
"13",13,0.473653618824405,5.19352654721095,0.6591691794,13,2006,"MAB","spring"
"14",14,0.445249135709522,2.74325700580669,0.64995524099,14,2007,"MAB","spring"
"15",15,0.149200779359448,4.70096423309201,0.71685220599,15,2008,"MAB","spring"
"16",16,0.642372732155661,3.92748155482878,0.64198234981,16,2009,"MAB","spring"
"17",17,1.13708237776331,2.12341989215698,0.58152045094,17,2010,"MAB","spring"
"18",18,0.743233279148709,3.74753420395234,0.61004652612,18,2011,"MAB","spring"
"19",19,0.590344139998508,2.26060149880507,0.63787266293,19,2012,"MAB","spring"
"20",20,0.960832504348241,4.13639606810031,0.6561369273,20,2013,"MAB","spring"
"21",21,0.813994767892238,5.69931828991743,0.6788708595,21,2014,"MAB","spring"
"22",22,0.887044876767686,6.24399374666573,0.68479767569,22,2015,"MAB","spring"
"23",23,0.658160823736274,5.38147754219042,0.6706120453,23,2016,"MAB","spring"
"24",24,0.973403105541843,3.04913511582282,0.57174037412,24,2017,"MAB","spring"
"25",25,1.19751806039309,4.59385366578828,0.60581146208,25,2018,"MAB","spring"
