"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.6810639699023,0.101937644292213,0.66889586,1,1998,"MAB","spring"
"2",2,3.20918011589142,0.0578690317430115,0.61045722,2,1999,"MAB","spring"
"3",3,2.64109277013154,0.06437661989636,0.6450613,3,2000,"MAB","spring"
"4",4,2.03159245099665,0.118493083947564,0.72520391,4,2001,"MAB","spring"
"5",5,2.85053128170371,0.132482618507122,0.6469786,5,2002,"MAB","spring"
"6",6,3.55234569447648,0.183108522555758,0.64118149,6,2003,"MAB","spring"
"7",7,2.76795423529487,0.113360559245855,0.64116923,7,2004,"MAB","spring"
"8",8,4.04174938412197,0.100997197372079,0.59158007,8,2005,"MAB","spring"
"9",9,2.47463214382188,0.100291094940896,0.64048801,9,2006,"MAB","spring"
"10",10,2.45324850843858,0.156522009508191,0.68708612,10,2007,"MAB","spring"
"11",11,2.56093780120891,0.106428003882354,0.6502912,11,2008,"MAB","spring"
"12",12,3.3909354242064,0.0780061482458894,0.58310105,12,2009,"MAB","spring"
"13",13,3.82385850775008,0.0678050005657513,0.58710267,13,2010,"MAB","spring"
"14",14,2.44224453370799,0.109638110884049,0.64364174,14,2011,"MAB","spring"
"15",15,2.06322521738799,0.0840703948285275,0.68292679,15,2012,"MAB","spring"
"16",16,1.1985939419822,0.126965061433019,0.77529795,16,2013,"MAB","spring"
"17",17,1.68678472195352,0.132976022132078,0.71440398,17,2014,"MAB","spring"
"18",18,2.04503747956309,0.141784140817031,0.71674735,18,2015,"MAB","spring"
"19",19,2.28960877885332,0.0717492590533405,0.6801112,19,2016,"MAB","spring"
"20",20,1.84294339854092,0.0940599166773734,0.73389849,20,2017,"MAB","spring"
"21",21,1.62836856766632,0.131006778953879,0.72991594,21,2018,"MAB","spring"
"22",22,2.2038041645873,0.110596652266327,0.72420485,22,2019,"MAB","spring"
