"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.35213942442711,0.0916402355778094,0.81170498573524,1,1998,"MAB","spring"
"2",2,1.64772546818695,0.0718020444791344,0.77851496067847,2,1999,"MAB","spring"
"3",3,1.67250060943475,0.0453371940365245,0.79941533387604,3,2000,"MAB","spring"
"4",4,0.914618886504416,0.0900275061815182,0.77936777067715,4,2001,"MAB","spring"
"5",5,1.0188699333549,0.112063571851443,0.79099663173006,5,2002,"MAB","spring"
"6",6,1.94717809152107,0.0981555994589128,0.81926107795063,6,2003,"MAB","spring"
"7",7,1.06353460870787,0.124918341174563,0.8296832962554,7,2004,"MAB","spring"
"8",8,1.69079584434754,0.0969165025640568,0.81396684055768,8,2005,"MAB","spring"
"9",9,1.0808298915664,0.0962858224805152,0.85252244634327,9,2006,"MAB","spring"
"10",10,1.21567397724952,0.10792586480264,0.82834091139766,10,2007,"MAB","spring"
"11",11,1.17412702739029,0.0754423540206282,0.79169049141151,11,2008,"MAB","spring"
"12",12,1.82604347115428,0.0725494216306918,0.80345420004806,12,2009,"MAB","spring"
"13",13,1.88930476054832,0.0571159263174037,0.79821408121861,13,2010,"MAB","spring"
"14",14,0.621150255218861,0.120119787882647,0.73738207304291,14,2011,"MAB","spring"
"15",15,1.20287608615259,0.0902313873075799,0.82307816652886,15,2012,"MAB","spring"
"16",16,0.600677714416908,0.0854307425829991,0.79838137181064,16,2013,"MAB","spring"
"17",17,0.575426239373158,0.155683888358167,0.81974253367609,17,2014,"MAB","spring"
"18",18,0.709055664188006,0.145316056928774,0.79961106317662,18,2015,"MAB","spring"
"19",19,1.26004314252498,0.0694192253971932,0.77794918603098,19,2016,"MAB","spring"
"20",20,1.0178954126111,0.0854457320962237,0.82762532314084,20,2017,"MAB","spring"
"21",21,0.878528892249145,0.124486373588673,0.79485744520992,21,2018,"MAB","spring"
"22",22,1.11432941470712,0.118543535204519,0.77294423567731,22,2019,"MAB","spring"
