"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.4612904567356,1.38613689042836,0.881791562839,1,1998,"MAB","spring"
"2",2,0.0753284662675632,0.691515820218393,0.870405739442,2,1999,"MAB","spring"
"3",3,0.0178887428561817,1.73957584352036,0.898143439896,3,2000,"MAB","spring"
"4",4,0.320807750756463,0.840302402689621,0.884719987355,4,2001,"MAB","spring"
"5",5,0.107695736296018,2.44833624820776,0.900515867528,5,2002,"MAB","spring"
"6",6,0.286332330143282,4.44503788507734,0.864758230006,6,2003,"MAB","spring"
"7",7,0.144038629251524,3.55951962850131,0.89602791689,7,2004,"MAB","spring"
"8",8,-0.675236805421823,1.33966395408875,0.87961518974,8,2005,"MAB","spring"
"9",9,-0.0631144261261967,5.62876914027853,0.9010022174,9,2006,"MAB","spring"
"10",10,1.14404663671272,2.21052403368086,0.899453841425,10,2007,"MAB","spring"
"11",11,-0.0588079051281485,1.07731552347554,0.898518316103,11,2008,"MAB","spring"
"12",12,0.81499049781846,7.91529341245135,0.893445021604,12,2009,"MAB","spring"
"13",13,-0.156114050359384,1.09265347995135,0.896811430217,13,2010,"MAB","spring"
"14",14,0.464144119850791,6.84577647416288,0.887380928539,14,2011,"MAB","spring"
"15",15,0.312033982936501,3.12575291220088,0.908977060386,15,2012,"MAB","spring"
"16",16,0.134076608749183,2.80566486696308,0.881418635002,16,2013,"MAB","spring"
"17",17,-0.385412963744243,2.25325910196231,0.894771098536,17,2014,"MAB","spring"
"18",18,0.0886790040841647,3.96356685195908,0.895166999427,18,2015,"MAB","spring"
"19",19,0.410966625364129,1.54394197714256,0.903531775326,19,2016,"MAB","spring"
"20",20,-0.49070072413323,3.52448128554834,0.909450380875,20,2017,"MAB","spring"
"21",21,-0.141686128045491,7.88615593988493,0.907523878938,21,2018,"MAB","spring"
"22",22,-0.00137289911509601,10.4535268599864,0.898055799499,22,2019,"MAB","spring"
