"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.94608477762166,0.0362185330022358,0.66889586,1,1998,"MAB","spring"
"2",2,1.96017935184604,0.011305289205428,0.61045722,2,1999,"MAB","spring"
"3",3,1.82983309516589,0.0153933153367567,0.6450613,3,2000,"MAB","spring"
"4",4,2.07888941578636,0.0129913008309662,0.72520391,4,2001,"MAB","spring"
"5",5,2.53166735299445,0.0204958913259735,0.6469786,5,2002,"MAB","spring"
"6",6,2.52587870562682,0.0417448638243572,0.64118149,6,2003,"MAB","spring"
"7",7,1.6711186776777,0.0542784772146159,0.64116923,7,2004,"MAB","spring"
"8",8,2.28992531575386,0.0258028304970205,0.59158007,8,2005,"MAB","spring"
"9",9,1.7144715031474,0.0391476868499463,0.64048801,9,2006,"MAB","spring"
"10",10,1.5903236361051,0.049885197403941,0.68708612,10,2007,"MAB","spring"
"11",11,1.29559058521108,0.0448964887847054,0.6502912,11,2008,"MAB","spring"
"12",12,1.73254800876245,0.0376640842174603,0.58310105,12,2009,"MAB","spring"
"13",13,1.92248220942127,0.0362128881976536,0.58710267,13,2010,"MAB","spring"
"14",14,1.29003345528578,0.0610597760993713,0.64364174,14,2011,"MAB","spring"
"15",15,1.81930394970019,0.04349168764129,0.68292679,15,2012,"MAB","spring"
"16",16,1.05725706801769,0.0365193799744193,0.77529795,16,2013,"MAB","spring"
"17",17,1.12886405588884,0.0627699657785872,0.71440398,17,2014,"MAB","spring"
"18",18,0.845198999338085,0.050556782352704,0.71674735,18,2015,"MAB","spring"
"19",19,1.62783796103424,0.0281439474583375,0.6801112,19,2016,"MAB","spring"
"20",20,1.00408365163382,0.051217615948136,0.73389849,20,2017,"MAB","spring"
"21",21,1.24429960901665,0.0660435652916296,0.72991594,21,2018,"MAB","spring"
"22",22,1.83188529604979,0.0823213363531341,0.72420485,22,2019,"MAB","spring"
