"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.16784611810366,0.0644354128669973,0.81170498573524,1,1998,"MAB","spring"
"2",2,1.40282778868925,0.0235033483152153,0.77851496067847,2,1999,"MAB","spring"
"3",3,1.23080099279922,0.0243404917022545,0.79941533387604,3,2000,"MAB","spring"
"4",4,1.41342589390574,0.0232404958248099,0.77936777067715,4,2001,"MAB","spring"
"5",5,1.58475975689394,0.02250697153288,0.79099663173006,5,2002,"MAB","spring"
"6",6,1.45376122158146,0.0397116695827403,0.81926107795063,6,2003,"MAB","spring"
"7",7,0.915677781708615,0.0611846522145213,0.8296832962554,7,2004,"MAB","spring"
"8",8,1.4101837331176,0.0366620833245579,0.81396684055768,8,2005,"MAB","spring"
"9",9,1.26532870919283,0.0348417272209732,0.85252244634327,9,2006,"MAB","spring"
"10",10,0.912992003458429,0.0470211091514198,0.82834091139766,10,2007,"MAB","spring"
"11",11,0.711743690362326,0.0369682777444858,0.79169049141151,11,2008,"MAB","spring"
"12",12,1.01480812884084,0.0435703763764336,0.80345420004806,12,2009,"MAB","spring"
"13",13,1.28904956077293,0.0321297549170049,0.79821408121861,13,2010,"MAB","spring"
"14",14,0.664426235185362,0.0560480097791026,0.73738207304291,14,2011,"MAB","spring"
"15",15,1.29955628523207,0.0372647299531456,0.82307816652886,15,2012,"MAB","spring"
"16",16,0.592117085177519,0.032999521559371,0.79838137181064,16,2013,"MAB","spring"
"17",17,0.650459643267125,0.0627828851713933,0.81974253367609,17,2014,"MAB","spring"
"18",18,0.505124135578313,0.0506684321380051,0.79961106317662,18,2015,"MAB","spring"
"19",19,1.14725678901271,0.0296013746244304,0.77794918603098,19,2016,"MAB","spring"
"20",20,0.463928719304525,0.057897340766942,0.82762532314084,20,2017,"MAB","spring"
"21",21,0.733940363354963,0.064255366083886,0.79485744520992,21,2018,"MAB","spring"
"22",22,1.06070830813681,0.0775122849746008,0.77294423567731,22,2019,"MAB","spring"
