"","name","skewness","variance","moran","Name","Year","EPU","Month"
"1",1,0.170861666044385,0.849319170732315," 0.05120732516",1,1982,"MAB",1
"2",2,0.518653869292785,1.05151148184227," 0.11433399526",2,1982,"MAB",2
"3",3,0.663938782595267,0.77130839243192," 0.22203237756",3,1982,"MAB",3
"4",4,0.924774166324691,1.77060825286894," 0.32817866212",4,1982,"MAB",4
"5",5,0.224016945245632,3.45117434515608," 0.32232658955",5,1982,"MAB",5
"6",6,0.657222910855747,4.82546332996765," 0.35591018554",6,1982,"MAB",6
"7",7,-0.175687356844209,4.02407120890655," 0.38577443987",7,1982,"MAB",7
"8",8,-0.0159202714948999,3.22635218052711," 0.3702678042",8,1982,"MAB",8
"9",9,-0.0776746934516597,2.90450362868057," 0.3895022961",9,1982,"MAB",9
"10",10,-0.143520214467705,2.00392461881416," 0.37293977362",10,1982,"MAB",10
"11",11,0.648210161765304,0.445477628628012," 0.32315520981",11,1982,"MAB",11
"12",12,0.47260493163766,0.78219696593317," 0.15259538157",12,1982,"MAB",12
"13",13,0.124305979604684,1.08223223783953," 0.05640222137",13,1983,"MAB",13
"14",14,-0.15450523447457,1.22289364439483," 0.10672717645",14,1983,"MAB",14
"15",15,0.337935129468159,0.99687926611359," 0.20787052958",15,1983,"MAB",15
"16",16,0.570751682130182,0.858426507612503," 0.27565249343",16,1983,"MAB",16
"17",17,0.569154854359376,1.92946748075271," 0.3080875910",17,1983,"MAB",17
"18",18,0.267611877562511,4.05282935212931," 0.37154581454",18,1983,"MAB",18
"19",19,-0.0630683929918145,5.31080663725825," 0.3390544976",19,1983,"MAB",19
"20",20,-0.0593839096930964,3.86262575577904," 0.37075425768",20,1983,"MAB",20
"21",21,-0.0720286553176035,2.02046338824831," 0.34413531672",21,1983,"MAB",21
"22",22,0.0874882299219845,0.937952581575428," 0.33950227136",22,1983,"MAB",22
"23",23,0.493981943882391,0.589477333197243," 0.33928512584",23,1983,"MAB",23
"24",24,0.700608812380983,0.885407989254436," 0.18068337966",24,1983,"MAB",24
"25",25,-0.010196103080386,1.10655710987997," 0.062232459850",25,1984,"MAB",25
"26",26,0.314774359684961,1.08178476776181," 0.047322942696",26,1984,"MAB",26
"27",27,0.0694208861475284,0.568893452872339," 0.071984790451",27,1984,"MAB",27
"28",28,1.02076030256855,1.17588950544691," 0.30871381618",28,1984,"MAB",28
"29",29,1.11475870776641,3.85401546500728," 0.30364957437",29,1984,"MAB",29
"30",30,0.174435932073804,3.44394599519828," 0.32396261618",30,1984,"MAB",30
"31",31,-0.174625644450849,1.45105674149761," 0.21288897363",31,1984,"MAB",31
"32",32,-0.00809100163943281,1.88429687432137," 0.32737235403",32,1984,"MAB",32
"33",33,-0.42275104614212,1.38578867679692," 0.30867404322",33,1984,"MAB",33
"34",34,0.547186621924687,1.53115859940668," 0.35372924474",34,1984,"MAB",34
"35",35,0.128914544854089,0.454595653623229," 0.034395129830",35,1984,"MAB",35
"36",36,0.181037855877988,0.781792371900161," 0.047548083679",36,1984,"MAB",36
"37",37,0.271701904198833,1.38917418428632," 0.098088215928",37,1985,"MAB",37
"38",38,0.404666879665217,2.99840899972227," 0.11887857455",38,1985,"MAB",38
"39",39,1.26206022930402,3.0618889830788," 0.19557592087",39,1985,"MAB",39
"40",40,1.37745868562504,3.77824932865155," 0.27560430670",40,1985,"MAB",40
"41",41,1.00409195321349,5.24519505865683," 0.31460041035",41,1985,"MAB",41
"42",42,0.413017326758996,4.53053019371288," 0.34439237375",42,1985,"MAB",42
"43",43,0.0282098470471771,2.25016969408195," 0.35056657038",43,1985,"MAB",43
"44",44,-0.31623243939053,1.65623709171351," 0.36161351264",44,1985,"MAB",44
"45",45,-0.216710309609635,2.53880536357025," 0.35766570156",45,1985,"MAB",45
"46",46,0.642287951827101,2.11537692002173," 0.3342658739",46,1985,"MAB",46
"47",47,0.289241554034843,1.51992495765562," 0.24430048375",47,1985,"MAB",47
"48",48,1.01670327191789,2.25482800271098," 0.11635236032",48,1985,"MAB",48
"49",49,0.763110123867888,3.23697089690108," 0.18988286203",49,1986,"MAB",49
"50",50,0.52898178410449,2.89237129954663," 0.19519646329",50,1986,"MAB",50
"51",51,1.45330663680867,4.48358752584483," 0.21880171409",51,1986,"MAB",51
"52",52,1.52083942068999,4.63930196388119," 0.2853768792",52,1986,"MAB",52
"53",53,1.15798383876925,3.91090063489616," 0.28878525679",53,1986,"MAB",53
"54",54,0.205990442686483,5.15760963038732," 0.34266193684",54,1986,"MAB",54
"55",55,0.0194154588213489,4.59533449808107," 0.37535168002",55,1986,"MAB",55
"56",56,-0.118332347685913,1.87854159841904," 0.34950524807",56,1986,"MAB",56
"57",57,-0.277625305625579,1.89827165087154," 0.35487697391",57,1986,"MAB",57
"58",58,0.336043937976129,2.57301959381647," 0.32835318920",58,1986,"MAB",58
"59",59,0.281213036713656,1.72648617664625," 0.30535838166",59,1986,"MAB",59
"60",60,0.600067604893909,1.51249406504751," 0.20385201216",60,1986,"MAB",60
"61",61,1.03733242604419,2.08094379911366," 0.12529099337",61,1987,"MAB",61
"62",62,0.536509519461598,1.75362189026557," 0.080538267040",62,1987,"MAB",62
"63",63,1.28929413507946,1.50057891829725," 0.26710562217",63,1987,"MAB",63
"64",64,1.45476788331622,2.83356863221828," 0.27987861570",64,1987,"MAB",64
"65",65,1.15754285573026,2.85951653413549," 0.28846328007",65,1987,"MAB",65
"66",66,0.472216520808617,3.45592385785672," 0.33831560287",66,1987,"MAB",66
"67",67,-0.0110812264867298,4.87995006026264," 0.35965363392",67,1987,"MAB",67
"68",68,-0.0178346322689503,3.59875785775035," 0.37899890126",68,1987,"MAB",68
"69",69,0.450028760939796,3.2479660456043," 0.3688020598",69,1987,"MAB",69
"70",70,0.78947985720947,1.79678114658024," 0.34232236540",70,1987,"MAB",70
"71",71,0.809030058882968,0.877597014055655," 0.33770317783",71,1987,"MAB",71
"72",72,0.809053714793415,0.460658766973336," 0.31316641019",72,1987,"MAB",72
"73",73,0.472483721366839,0.590088047303115," 0.24955024847",73,1988,"MAB",73
"74",74,0.339007496202318,0.760000959171637," 0.22890561124",74,1988,"MAB",74
"75",75,0.756130918103046,1.10600543357739," 0.31587224207",75,1988,"MAB",75
"76",76,1.40444980191075,2.07117585874709," 0.29570268060",76,1988,"MAB",76
