"","name","skewness","variance","moran","Year","EPU","season"
"1",1,-0.0906085937863219,3.35681545382589,0.1205961,1982,"MAB","summer"
"2",2,-0.0597324561823285,3.58553301031035,0.26155529,1983,"MAB","summer"
"3",3,-0.163120605386963,1.49780345954228,0.18255344,1984,"MAB","summer"
"4",4,-0.160349616529203,2.10430388818539,0.1381293,1985,"MAB","summer"
"5",5,-0.0664724278944633,2.61791121155903,0.13931192,1986,"MAB","summer"
"6",6,0.149837001980594,3.80276246535417,0.15355,1987,"MAB","summer"
"7",7,0.63844336541788,1.24806923906883,0.15122764,1988,"MAB","summer"
"8",8,0.194197642967591,2.03253645252484,0.17983028,1989,"MAB","summer"
"9",9,0.450865063283148,1.32539979543454,0.19681443,1990,"MAB","summer"
"10",10,0.0504490701452972,2.43981011348839,0.21096417,1991,"MAB","summer"
"11",11,0.269070091956156,2.44576441933927,0.15554412,1992,"MAB","summer"
"12",12,0.0608550478477661,2.46638148703684,0.15002447,1993,"MAB","summer"
"13",13,0.596125225651662,1.0710764726359,0.173908,1994,"MAB","summer"
"14",14,0.191763699585474,2.41456400071339,0.1454646,1995,"MAB","summer"
"15",15,0.0444130787102597,3.98922152842987,0.20271629,1996,"MAB","summer"
"16",16,0.190884885926477,1.76379968989239,0.22676753,1997,"MAB","summer"
"17",17,-0.216184831753966,2.26989943828341,0.083332339,1998,"MAB","summer"
"18",18,0.53040608666581,1.12333935209494,0.17382934,1999,"MAB","summer"
"19",19,-0.110905275726035,1.73590212630729,0.21273708,2000,"MAB","summer"
"20",20,-0.0649786077277313,1.20965170686976,0.15274628,2001,"MAB","summer"
"21",21,0.224682664612026,2.05396325988608,0.20776829,2002,"MAB","summer"
"22",22,0.331527709713781,0.916317612673937,0.161626,2003,"MAB","summer"
"23",23,0.100328030699627,2.92161819446296,0.16944056,2004,"MAB","summer"
"24",24,0.293792818616504,1.99882606861252,0.084286754,2005,"MAB","summer"
"25",25,0.281468115582501,1.82414952688293,0.18132357,2006,"MAB","summer"
"26",26,0.264472884709753,2.94529724922639,0.22646763,2007,"MAB","summer"
"27",27,0.372916381366876,1.57646842286367,0.11191996,2008,"MAB","summer"
"28",28,-0.292000784366342,1.79136608878513,0.19706151,2009,"MAB","summer"
"29",29,-0.090176944177605,1.92334409612153,0.153914,2010,"MAB","summer"
"30",30,0.137116993282482,2.31333189068931,0.1566904,2011,"MAB","summer"
"31",31,-0.0856086612099159,1.25091371523141,0.17923355,2012,"MAB","summer"
"32",32,-0.0886601955101255,1.00281205659454,0.1761043,2013,"MAB","summer"
"33",33,-0.0472321831338789,1.23134464838527,0.19239129,2014,"MAB","summer"
"34",34,-0.287705972787248,1.15850905278661,0.18899402,2015,"MAB","summer"
"35",35,-0.0388626506185458,1.88994856115505,0.203701,2016,"MAB","summer"
"36",36,-0.0616192009318758,1.62994772799705,0.1307749,2017,"MAB","summer"
"37",37,0.177196121134716,1.64331460385293,0.2233136,2018,"MAB","summer"
"38",38,-0.0489495936371252,1.53202920631693,0.1979,2019,"MAB","summer"
