"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,2.82335135183557,0.0633952268595,0.66889586,1,1998,"MAB","summer"
"2",2,1.74460696368216,0.0876792324523276,0.61045722,2,1999,"MAB","summer"
"3",3,1.35201884353151,0.163358849352625,0.6450613,3,2000,"MAB","summer"
"4",4,2.31557002779364,0.296122232600073,0.72520391,4,2001,"MAB","summer"
"5",5,1.42488450195588,0.293389809789284,0.6469786,5,2002,"MAB","summer"
"6",6,2.43609109752658,0.194225710012643,0.64118149,6,2003,"MAB","summer"
"7",7,6.78291740841718,0.122747049480766,0.64116923,7,2004,"MAB","summer"
"8",8,5.41305008697401,0.0847032695111865,0.59158007,8,2005,"MAB","summer"
"9",9,3.28177767665991,0.11863126338234,0.64048801,9,2006,"MAB","summer"
"10",10,2.8606998411547,0.132112406286008,0.68708612,10,2007,"MAB","summer"
"11",11,2.64113659288469,0.991750583886658,0.6502912,11,2008,"MAB","summer"
"12",12,1.76423464610038,0.263378016543688,0.58310105,12,2009,"MAB","summer"
"13",13,2.53360146566476,0.427995371284865,0.58710267,13,2010,"MAB","summer"
"14",14,2.11222770629906,1.14476237843779,0.64364174,14,2011,"MAB","summer"
"15",15,2.364968618054,0.0688340261732101,0.68292679,15,2012,"MAB","summer"
"16",16,1.70979958498507,0.128267087385026,0.77529795,16,2013,"MAB","summer"
"17",17,2.47175984472507,0.0827417421705875,0.71440398,17,2014,"MAB","summer"
"18",18,2.40147846833423,0.995460479454259,0.71674735,18,2015,"MAB","summer"
"19",19,1.89045337528221,0.282394633029142,0.6801112,19,2016,"MAB","summer"
"20",20,1.7873974338814,0.242624800892943,0.73389849,20,2017,"MAB","summer"
"21",21,2.3544719633195,0.0894746625327181,0.72991594,21,2018,"MAB","summer"
"22",22,1.94603400526645,0.102216818473758,0.72420485,22,2019,"MAB","summer"
