"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.33354427642941,0.0713141030738317,0.66889586,1,1998,"MAB","summer"
"2",2,0.85181137934728,0.0567339926610303,0.61045722,2,1999,"MAB","summer"
"3",3,0.931267540131828,0.0796405598131242,0.6450613,3,2000,"MAB","summer"
"4",4,1.18783423142278,0.244269040302545,0.72520391,4,2001,"MAB","summer"
"5",5,0.899822900796822,0.245556784687756,0.6469786,5,2002,"MAB","summer"
"6",6,1.69573277424005,0.128046059020366,0.64118149,6,2003,"MAB","summer"
"7",7,1.8768958321346,0.0705185105157919,0.64116923,7,2004,"MAB","summer"
"8",8,1.52903031042575,0.0707890216715071,0.59158007,8,2005,"MAB","summer"
"9",9,1.09792848099561,0.081760429763603,0.64048801,9,2006,"MAB","summer"
"10",10,0.96519387493619,0.115023280014395,0.68708612,10,2007,"MAB","summer"
"11",11,1.95150141197204,0.170223150704942,0.6502912,11,2008,"MAB","summer"
"12",12,1.76292412852721,0.158980658717268,0.58310105,12,2009,"MAB","summer"
"13",13,1.81029362493724,0.210221586572493,0.58710267,13,2010,"MAB","summer"
"14",14,1.57536114307897,0.174655719148864,0.64364174,14,2011,"MAB","summer"
"15",15,1.32708636177795,0.0810170816097836,0.68292679,15,2012,"MAB","summer"
"16",16,0.492985457862201,0.153663048602773,0.77529795,16,2013,"MAB","summer"
"17",17,1.26344842977773,0.109288509743555,0.71440398,17,2014,"MAB","summer"
"18",18,1.81797805521875,0.469816558796529,0.71674735,18,2015,"MAB","summer"
"19",19,1.52785410297227,0.173001613059971,0.6801112,19,2016,"MAB","summer"
"20",20,0.880564471698895,0.180425440372407,0.73389849,20,2017,"MAB","summer"
"21",21,1.68314942756346,0.139990204630991,0.72991594,21,2018,"MAB","summer"
"22",22,1.23026976955671,0.116419579293344,0.72420485,22,2019,"MAB","summer"
