"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,-0.0906085937863219,3.35681545382589,0.3437988647596,1,1983,"MAB","summer"
"2",2,-0.0597324561823285,3.58553301031035,0.335533036292,2,1984,"MAB","summer"
"3",3,-0.163120605386963,1.49780345954228,0.3158908091316,3,1985,"MAB","summer"
"4",4,-0.160349616529203,2.10430388818539,0.31525682531,4,1986,"MAB","summer"
"5",5,-0.0664724278944633,2.61791121155903,0.3101264084617,5,1987,"MAB","summer"
"6",6,0.149837001980594,3.80276246535417,0.3071875712583,6,1988,"MAB","summer"
"7",7,0.63844336541788,1.24806923906883,0.3223158521775,7,1989,"MAB","summer"
"8",8,0.194197642967591,2.03253645252484,0.332209086667,8,1990,"MAB","summer"
"9",9,0.450865063283148,1.32539979543454,0.3162604458782,9,1991,"MAB","summer"
"10",10,0.0504490701452972,2.43981011348839,0.322162285003,10,1992,"MAB","summer"
"11",11,0.269070091956156,2.44576441933927,0.30612553426,11,1993,"MAB","summer"
"12",12,0.0608550478477661,2.46638148703684,0.3526906332261,12,1994,"MAB","summer"
"13",13,0.596125225651662,1.0710764726359,0.340893086857,13,1995,"MAB","summer"
"14",14,0.191763699585474,2.41456400071339,0.3568306905974,14,1996,"MAB","summer"
"15",15,0.0444130787102597,3.98922152842987,0.336057737404,15,1997,"MAB","summer"
"16",16,0.190884885926477,1.76379968989239,0.344876376726,16,1998,"MAB","summer"
"17",17,-0.216184831753966,2.26989943828341,0.3356778308203,17,1999,"MAB","summer"
"18",18,0.53040608666581,1.12333935209494,0.276996047345,18,2000,"MAB","summer"
"19",19,-0.110905275726035,1.73590212630729,0.2994865704548,19,2001,"MAB","summer"
"20",20,-0.0649786077277313,1.20965170686976,0.3395033139116,20,2002,"MAB","summer"
"21",21,0.224682664612026,2.05396325988608,0.3440752201649,21,2003,"MAB","summer"
"22",22,0.331527709713781,0.916317612673937,0.3149410506732,22,2004,"MAB","summer"
"23",23,0.100328030699627,2.92161819446296,0.3523793307469,23,2005,"MAB","summer"
"24",24,0.293792818616504,1.99882606861252,0.3615306189995,24,2006,"MAB","summer"
"25",25,0.281468115582501,1.82414952688293,0.3404807625589,25,2007,"MAB","summer"
"26",26,0.264472884709753,2.94529724922639,0.3552781854168,26,2008,"MAB","summer"
"27",27,0.372916381366876,1.57646842286367,0.366872377424,27,2009,"MAB","summer"
"28",28,-0.292000784366342,1.79136608878513,0.364358107144,28,2010,"MAB","summer"
"29",29,-0.090176944177605,1.92334409612153,0.3432709368721,29,2011,"MAB","summer"
"30",30,0.137116993282482,2.31333189068931,0.3558215108988,30,2012,"MAB","summer"
"31",31,-0.0856086612099159,1.25091371523141,0.3741036052027,31,2013,"MAB","summer"
"32",32,-0.0886601955101255,1.00281205659454,0.343548380138,32,2014,"MAB","summer"
"33",33,-0.0472321831338789,1.23134464838527,0.2516226755798,33,2015,"MAB","summer"
"34",34,-0.287705972787248,1.15850905278661,0.3475344429942,34,2016,"MAB","summer"
"35",35,-0.0388626506185458,1.88994856115505,0.3274642477572,35,2017,"MAB","summer"
"36",36,-0.0616192009318758,1.62994772799705,0.3661980356616,36,2018,"MAB","summer"
"37",37,0.177196121134716,1.64331460385293,0.338806709597,37,2019,"MAB","summer"
"38",38,-0.0489495936371252,1.53202920631693,0.3551966178582,38,2020,"MAB","summer"
