"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.359068925781301,7.74206662090414,0.63828867463,1,1994,"MAB","winter"
"2",2,0.167009848001247,2.87319202523613,0.57703778414,2,1995,"MAB","winter"
"3",3,0.623789637848091,4.91667925542196,0.59114189644,3,1996,"MAB","winter"
"4",4,2.57886606844621,2.53918427489835,0.6600067963,4,1997,"MAB","winter"
"5",5,0.464488214611484,4.86455955754639,0.65773684975,5,1998,"MAB","winter"
"6",6,-0.311397359040837,1.42206274273004,0.67505801441,6,1999,"MAB","winter"
"7",7,-0.186945730226,4.99443252005731,0.66313709121,7,2000,"MAB","winter"
"8",8,0.375831579317711,8.06784632661468,0.61597773155,8,2001,"MAB","winter"
"9",9,0.0582584481908618,4.96219848545417,0.6339726071,9,2002,"MAB","winter"
"10",10,0.288645907006935,4.6625033085595,0.66800775386,10,2003,"MAB","winter"
"11",11,-0.0939434194595662,4.25226451347319,0.58373820436,11,2004,"MAB","winter"
"12",12,0.720453764578786,3.07018852942387,0.53865640183,12,2005,"MAB","winter"
"13",13,0.0428661786813156,4.68714737963997,0.6591691794,13,2006,"MAB","winter"
"14",14,0.0401319279681644,2.72912276132029,0.64995524099,14,2007,"MAB","winter"
"15",15,0.612134861167617,1.79520369367692,0.71685220599,15,2008,"MAB","winter"
"16",16,-0.426302354811138,4.94984635110051,0.64198234981,16,2009,"MAB","winter"
"17",17,-0.425583918355669,5.73996334705324,0.58152045094,17,2010,"MAB","winter"
"18",18,0.391238815575972,5.45911759525746,0.61004652612,18,2011,"MAB","winter"
"19",19,-0.795863927668339,3.76039128621741,0.63787266293,19,2012,"MAB","winter"
"20",20,-0.0167159656496588,3.23074747993629,0.6561369273,20,2013,"MAB","winter"
"21",21,-0.210197933837674,6.19955031696675,0.6788708595,21,2014,"MAB","winter"
"22",22,-0.192047060699332,5.10779660326641,0.68479767569,22,2015,"MAB","winter"
"23",23,0.22718596033541,3.18764161915407,0.6706120453,23,2016,"MAB","winter"
"24",24,-0.0374235625529082,5.37681763815334,0.57174037412,24,2017,"MAB","winter"
"25",25,-0.659438018083015,5.32361405356304,0.60581146208,25,2018,"MAB","winter"
