"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.57336684885974,0.247418680215085,0.66889586,1,1998,"MAB","winter"
"2",2,2.14528674870188,0.166926153524626,0.61045722,2,1999,"MAB","winter"
"3",3,1.08557801376737,0.111452096417025,0.6450613,3,2000,"MAB","winter"
"4",4,2.05843312740497,0.196099880068358,0.72520391,4,2001,"MAB","winter"
"5",5,1.29530106370906,0.11702717327167,0.6469786,5,2002,"MAB","winter"
"6",6,2.62366223825521,0.168402761359088,0.64118149,6,2003,"MAB","winter"
"7",7,2.62322354999801,0.178212728250948,0.64116923,7,2004,"MAB","winter"
"8",8,4.47552312635183,0.145614901015748,0.59158007,8,2005,"MAB","winter"
"9",9,1.46107660298142,0.194412203202699,0.64048801,9,2006,"MAB","winter"
"10",10,1.72842035727561,0.18468254359516,0.68708612,10,2007,"MAB","winter"
"11",11,2.20993365481251,0.175178859361926,0.6502912,11,2008,"MAB","winter"
"12",12,2.44476648598618,0.123640422715137,0.58310105,12,2009,"MAB","winter"
"13",13,1.27411121038907,0.152358734017158,0.58710267,13,2010,"MAB","winter"
"14",14,2.18885717490141,0.108783854820834,0.64364174,14,2011,"MAB","winter"
"15",15,2.247906730896,0.242044496182154,0.68292679,15,2012,"MAB","winter"
"16",16,0.98689822131359,0.196754969081696,0.77529795,16,2013,"MAB","winter"
"17",17,0.859831727401036,0.150141622501974,0.71440398,17,2014,"MAB","winter"
"18",18,0.541144687643911,0.159946590224986,0.71674735,18,2015,"MAB","winter"
"19",19,1.34971923601274,0.158887041767236,0.6801112,19,2016,"MAB","winter"
"20",20,1.16283212304754,0.141946781139992,0.73389849,20,2017,"MAB","winter"
"21",21,0.743510264170635,0.129099696757605,0.72991594,21,2018,"MAB","winter"
"22",22,1.4443681614992,0.153314739808197,0.72420485,22,2019,"MAB","winter"
