"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.523993426669028,0.210508486014999,0.81170498573524,1,1998,"MAB","winter"
"2",2,0.829889840387596,0.124957923780885,0.77851496067847,2,1999,"MAB","winter"
"3",3,0.112298266910516,0.145456503147416,0.79941533387604,3,2000,"MAB","winter"
"4",4,0.425039062215769,0.143428030631997,0.77936777067715,4,2001,"MAB","winter"
"5",5,0.488051053327994,0.113895501253215,0.79099663173006,5,2002,"MAB","winter"
"6",6,0.554286398382969,0.126272455922727,0.81926107795063,6,2003,"MAB","winter"
"7",7,0.0443805819228903,0.153189449835305,0.8296832962554,7,2004,"MAB","winter"
"8",8,0.295058405476694,0.12488054678872,0.81396684055768,8,2005,"MAB","winter"
"9",9,0.25201132393406,0.115869858937357,0.85252244634327,9,2006,"MAB","winter"
"10",10,0.221018303188982,0.140230066577314,0.82834091139766,10,2007,"MAB","winter"
"11",11,0.593751866477614,0.119985829261481,0.79169049141151,11,2008,"MAB","winter"
"12",12,0.442488066058724,0.107668996065348,0.80345420004806,12,2009,"MAB","winter"
"13",13,0.122185183236297,0.151542866674312,0.79821408121861,13,2010,"MAB","winter"
"14",14,0.267638410222778,0.0809119183340371,0.73738207304291,14,2011,"MAB","winter"
"15",15,0.620773003438431,0.146520651957056,0.82307816652886,15,2012,"MAB","winter"
"16",16,-0.101678296633263,0.200630296950705,0.79838137181064,16,2013,"MAB","winter"
"17",17,-0.286791098539562,0.152951667906194,0.81974253367609,17,2014,"MAB","winter"
"18",18,-0.595350491961014,0.193802595648647,0.79961106317662,18,2015,"MAB","winter"
"19",19,0.421520634923342,0.123802586980378,0.77794918603098,19,2016,"MAB","winter"
"20",20,0.287702155824919,0.123808680772493,0.82762532314084,20,2017,"MAB","winter"
"21",21,0.0434888688348642,0.128877913541427,0.79485744520992,21,2018,"MAB","winter"
"22",22,0.58334429388408,0.137478530281751,0.77294423567731,22,2019,"MAB","winter"
