"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.93933364870723,1.19557614532193,0.881791562839,1,1998,"MAB","winter"
"2",2,0.442492629930704,1.97377018910509,0.870405739442,2,1999,"MAB","winter"
"3",3,0.057431914354414,3.20921994574069,0.898143439896,3,2000,"MAB","winter"
"4",4,0.741791879064385,1.77835566049513,0.884719987355,4,2001,"MAB","winter"
"5",5,-0.00157743550571781,3.85819916071413,0.900515867528,5,2002,"MAB","winter"
"6",6,-0.144526088584206,1.08161636283478,0.864758230006,6,2003,"MAB","winter"
"7",7,0.485706235914083,3.13772630576575,0.89602791689,7,2004,"MAB","winter"
"8",8,0.40235757715057,1.01809692396136,0.87961518974,8,2005,"MAB","winter"
"9",9,-0.110179448021925,2.043919754623,0.9010022174,9,2006,"MAB","winter"
"10",10,0.165434264579512,4.19699312789044,0.899453841425,10,2007,"MAB","winter"
"11",11,0.217935019012353,3.23528793649504,0.898518316103,11,2008,"MAB","winter"
"12",12,0.0794763205355545,1.53963635006176,0.893445021604,12,2009,"MAB","winter"
"13",13,0.919700049153993,3.11439758445866,0.896811430217,13,2010,"MAB","winter"
"14",14,-0.374950207820493,1.81778955134508,0.887380928539,14,2011,"MAB","winter"
"15",15,0.232415224461243,2.85555701416599,0.908977060386,15,2012,"MAB","winter"
"16",16,0.930460230952106,2.65989558979484,0.881418635002,16,2013,"MAB","winter"
"17",17,0.247051933910525,1.55265524214367,0.894771098536,17,2014,"MAB","winter"
"18",18,0.29527884060919,2.87350704779644,0.895166999427,18,2015,"MAB","winter"
"19",19,0.35184761085224,2.38986151090943,0.903531775326,19,2016,"MAB","winter"
"20",20,0.701561901723902,6.42176955403734,0.909450380875,20,2017,"MAB","winter"
"21",21,0.614461232066012,2.59559931154467,0.907523878938,21,2018,"MAB","winter"
"22",22,0.893083765374157,0.870690393144298,0.898055799499,22,2019,"MAB","winter"
