"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,1.0039675148714,0.0111826531809777,0.66889586,1,1998,"MAB","winter"
"2",2,0.973115770535637,0.00806229324506459,0.61045722,2,1999,"MAB","winter"
"3",3,1.08431172207315,0.0105575789070892,0.6450613,3,2000,"MAB","winter"
"4",4,0.972394138881355,0.00665796091466317,0.72520391,4,2001,"MAB","winter"
"5",5,0.696060992128728,0.0107141426172894,0.6469786,5,2002,"MAB","winter"
"6",6,0.79248390721144,0.0103701546380556,0.64118149,6,2003,"MAB","winter"
"7",7,1.06824174707386,0.0114263921291274,0.64116923,7,2004,"MAB","winter"
"8",8,1.21368682024149,0.00636636531473836,0.59158007,8,2005,"MAB","winter"
"9",9,0.319215976040265,0.0141365862181108,0.64048801,9,2006,"MAB","winter"
"10",10,0.993040356838523,0.0104835122828729,0.68708612,10,2007,"MAB","winter"
"11",11,0.979692305957978,0.00741196841358472,0.6502912,11,2008,"MAB","winter"
"12",12,0.451705492918669,0.00584719226886272,0.58310105,12,2009,"MAB","winter"
"13",13,0.602619578443759,0.00736274808597906,0.58710267,13,2010,"MAB","winter"
"14",14,0.422109379100256,0.00477270402887462,0.64364174,14,2011,"MAB","winter"
"15",15,0.771517995729327,0.0172951989570441,0.68292679,15,2012,"MAB","winter"
"16",16,0.187108679727714,0.0103353299892897,0.77529795,16,2013,"MAB","winter"
"17",17,0.50114726228962,0.00558017318344005,0.71440398,17,2014,"MAB","winter"
"18",18,0.492147430917938,0.00573647061577344,0.71674735,18,2015,"MAB","winter"
"19",19,0.937308385232807,0.008512075892583,0.6801112,19,2016,"MAB","winter"
"20",20,0.845186436703748,0.00913066085157276,0.73389849,20,2017,"MAB","winter"
"21",21,0.640472761843765,0.00502278671741489,0.72991594,21,2018,"MAB","winter"
"22",22,0.868616672198284,0.00544372344000343,0.72420485,22,2019,"MAB","winter"
