"","name","skewness","variance","moran","Name","Year","EPU","season"
"1",1,0.548631340176766,0.061518127362846,0.81170498573524,1,1998,"MAB","winter"
"2",2,0.168597741736781,0.040756877169258,0.77851496067847,2,1999,"MAB","winter"
"3",3,0.310912981160344,0.0494528296474217,0.79941533387604,3,2000,"MAB","winter"
"4",4,0.266826929267063,0.0348152219295127,0.77936777067715,4,2001,"MAB","winter"
"5",5,0.141827683187141,0.0460106660626607,0.79099663173006,5,2002,"MAB","winter"
"6",6,0.15943303994974,0.0796855632669657,0.81926107795063,6,2003,"MAB","winter"
"7",7,0.416771785929461,0.0662283916437249,0.8296832962554,7,2004,"MAB","winter"
"8",8,0.589771035591425,0.0403171946056084,0.81396684055768,8,2005,"MAB","winter"
"9",9,-0.0878835324568586,0.0638890508335764,0.85252244634327,9,2006,"MAB","winter"
"10",10,0.415661220072898,0.048544934717238,0.82834091139766,10,2007,"MAB","winter"
"11",11,0.512326993602942,0.03910267679952,0.79169049141151,11,2008,"MAB","winter"
"12",12,-0.115663744736067,0.0405183056186412,0.80345420004806,12,2009,"MAB","winter"
"13",13,0.0170021806386398,0.0501797459199181,0.79821408121861,13,2010,"MAB","winter"
"14",14,-0.0922232635219302,0.0296624199638958,0.73738207304291,14,2011,"MAB","winter"
"15",15,0.186035501714406,0.064899538787724,0.82307816652886,15,2012,"MAB","winter"
"16",16,-0.421945762603765,0.0719600081330546,0.79838137181064,16,2013,"MAB","winter"
"17",17,0.111271947857285,0.0363921799980798,0.81974253367609,17,2014,"MAB","winter"
"18",18,-0.10427501896963,0.0448835106239921,0.79961106317662,18,2015,"MAB","winter"
"19",19,0.400953340741321,0.0372790747947927,0.77794918603098,19,2016,"MAB","winter"
"20",20,0.410136721320389,0.0487439344492261,0.82762532314084,20,2017,"MAB","winter"
"21",21,0.108895434340438,0.0326944202378465,0.79485744520992,21,2018,"MAB","winter"
"22",22,0.149436018747957,0.0320993011529154,0.77294423567731,22,2019,"MAB","winter"
