"","EPU","zoo_name","season","year","anom1"
"1","GB","Large","spring",2000,0.235509550676927
"2","GB","Large","spring",2001,0.423252282385248
"3","GB","Large","spring",2002,-0.198364372494321
"4","GB","Large","spring",2003,0.196747939417363
"5","GB","Large","spring",2004,0.162810858196157
"6","GB","Large","spring",2005,0.0643930853843272
"7","GB","Large","spring",2006,0.0510242728730153
"8","GB","Large","spring",2007,0.148083572573801
"9","GB","Large","spring",2008,-0.153074032280961
"10","GB","Large","spring",2009,0.42125815918894
"11","GB","Large","spring",2010,0.199026340834001
"12","GB","Large","spring",2011,-0.186584818372083
"13","GB","Large","spring",2012,0.336789934370501
"14","GB","Large","spring",2013,0.198837889314443
"15","GB","Large","spring",2014,0.00200991005741231
"16","GB","Large","spring",2015,0.0977791896252214
"17","GB","Large","spring",2016,-0.0171759784225814
"18","GB","Large","spring",2017,0.0962336780609454
"19","GB","Large","spring",2018,0.209821298406652
"20","GB","Large","spring",1977,0.0462653168910672
"21","GB","Large","spring",1978,0.215550453409952
"22","GB","Large","spring",1979,-0.18303738643957
"23","GB","Large","spring",1980,-0.209287713544337
"24","GB","Large","spring",1981,-0.093216950770854
"25","GB","Large","spring",1982,-0.213663967510444
"26","GB","Large","spring",1983,0.047691562264789
"27","GB","Large","spring",1984,-0.226245144477236
"28","GB","Large","spring",1985,-0.232974434956463
"29","GB","Large","spring",1986,-0.104054901987473
"30","GB","Large","spring",1987,0.346130831461949
"31","GB","Large","spring",1988,-0.499170839076201
"32","GB","Large","spring",1989,0.0165950313954065
"33","GB","Large","spring",1990,-0.670703775030522
"34","GB","Large","spring",1992,-0.228900854567998
"35","GB","Large","spring",1993,0.106854950958274
"36","GB","Large","spring",1994,-0.0693840423266688
"37","GB","Large","spring",1995,0.16578035419543
"38","GB","Large","spring",1996,0.531974110670987
"39","GB","Large","spring",1997,0.223665699141918
"40","GB","Large","spring",1998,0.126899858060944
"41","GB","Large","spring",1999,-0.255646205275308
"42","GB","Large","summer",2000,-0.0978312780772986
"43","GB","Large","summer",2001,-0.0592989097637091
"44","GB","Large","summer",2002,-0.0443448890404193
"45","GB","Large","summer",2003,0.132687623942946
"46","GB","Large","summer",2004,0.70107968631124
"47","GB","Large","summer",2005,0.355811482589344
"48","GB","Large","summer",2006,-0.095563989617759
"49","GB","Large","summer",2007,-0.200947763094226
"50","GB","Large","summer",2008,-0.42681321047381
"51","GB","Large","summer",2009,-0.0450928530958398
"52","GB","Large","summer",2010,-0.247079806241867
"53","GB","Large","summer",2011,0.0383093670488448
"54","GB","Large","summer",2012,-0.456921457159784
"55","GB","Large","summer",2013,-0.214300862053245
"56","GB","Large","summer",2016,-0.410543033983653
