NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MEAN,VAR,SKEW
M_200206-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200206,M,STATS,oC,1568065233,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,18.29044958733389,6.645417297876532,0.5348156182925607
M_200206-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200206,M,STATS,oC,1568065233,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,11.83786371953107,0.7734207158060025,-0.5439887811707537
M_200206-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200206,M,STATS,oC,1568065233,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,9.957037122096569,0.7131427473743607,0.3634631661900993
M_200206-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200206,M,STATS,oC,1568065233,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,12.93633180429351,2.177320675775907,0.8642152067895710
M_200207-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200207,M,STATS,oC,1568066236,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,23.19914873780175,3.839421743131854,-0.4928159510754545
M_200207-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200207,M,STATS,oC,1568066236,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,16.91621618850401,1.404837277215093,-0.4898093297973085
M_200207-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200207,M,STATS,oC,1568066236,1593555329,NES_EPU_NOESTUARIES,SS,5621,5593,14.21173903299704,1.450444315692569,0.7511188663459852
M_200207-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200207,M,STATS,oC,1568066236,1593555329,NES_EPU_NOESTUARIES,GB,10614,10600,16.92690799218304,2.086697685771896,0.4725489318782473
M_200208-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200208,M,STATS,oC,1568067203,1593555329,NES_EPU_NOESTUARIES,MAB,19066,19053,24.24825439178830,2.321007553681270,-0.3286234620249018
M_200208-MUR-V04.1-L3B2-SST-STATS,L3B2,MUR,SST,,M_200208,M,STATS,oC,1568067203,1593555329,NES_EPU_NOESTUARIES,GOM,11621,11618,18.74940869754431,1.321124152496661,-0.5328802577975402
